station_code,station_name,ProvinceZH,CityZH,Lon,Lat,对照点,Fenwei,Province,CityEN,designation,YRD,PRD,keyregion,GADM_ID_2,CityID,CityGADM,NAME_2,keyregion2018
1001A,万寿西宫,北京,北京,116.366,39.8673,N,FALSE,Beijing,Beijing,26+2,FALSE,FALSE,Jingjinji,18,233,18,Beijing,2+26
2307A,监测大楼,安徽,六安,116.508,31.7371,N,FALSE,Anhui,Lu'an,neighbor2,FALSE,FALSE,none,12,80,12,Lu'an,
2306A,火车站,安徽,宿州,116.989,33.6306,N,FALSE,Anhui,Suzhou,neighbor1,FALSE,FALSE,none,14,59,14,Suzhou,
2305A,一中(停运200114),安徽,宿州,116.9677,33.6284,Y,FALSE,Anhui,Suzhou,neighbor1,FALSE,FALSE,none,14,59,14,Suzhou,
2304A,监测楼,安徽,宿州,116.9765,33.6481,Y,FALSE,Anhui,Suzhou,neighbor1,FALSE,FALSE,none,14,59,14,Suzhou,
2303A,开发区,安徽,阜阳,115.8556,32.8603,N,FALSE,Anhui,Fuyang,neighbor2,FALSE,FALSE,none,7,285,7,Fuyang,
2302A,市委党校,安徽,阜阳,,,N,FALSE,Anhui,Fuyang,neighbor2,FALSE,FALSE,none,7,285,7,Fuyang,
2301A,市监测站,安徽,阜阳,115.8275,32.8928,N,FALSE,Anhui,Fuyang,neighbor2,FALSE,FALSE,none,7,285,7,Fuyang,
2300A,监测站(20190308停运),安徽,滁州,118.3158,32.3061,Y,FALSE,Anhui,Chuzhou,neighbor2,TRUE,FALSE,YRD,6,175,6,Chuzhou,YRD
2299A,人大宾馆,安徽,滁州,118.3244,32.2786,N,FALSE,Anhui,Chuzhou,neighbor2,TRUE,FALSE,YRD,6,175,6,Chuzhou,YRD
2308A,皖西学院,安徽,六安,116.478,31.7618,N,FALSE,Anhui,Lu'an,neighbor2,FALSE,FALSE,none,12,80,12,Lu'an,
2298A,老年大学,安徽,滁州,118.3094,32.3153,N,FALSE,Anhui,Chuzhou,neighbor2,TRUE,FALSE,YRD,6,175,6,Chuzhou,YRD
2296A,黄山东路89号,安徽,黄山,118.3236,29.7207,N,FALSE,Anhui,Huangshan,none,FALSE,FALSE,none,11,315,11,Huangshan,
2295A,延安路89号,安徽,黄山,118.3057,29.7128,N,FALSE,Anhui,Huangshan,none,FALSE,FALSE,none,11,315,11,Huangshan,
2294A,安庆大学(191227更为评价点),安徽,安庆,116.9896,30.6145,N,FALSE,Anhui,Anqing,none,TRUE,FALSE,YRD,1,63,1,Anqing,YRD
2293A,联富花园(停运180816),安徽,安庆,117.0486,30.5489,Y,FALSE,Anhui,Anqing,none,TRUE,FALSE,YRD,1,63,1,Anqing,YRD
2292A,马山宾馆,安徽,安庆,117.0331,30.512,N,FALSE,Anhui,Anqing,none,TRUE,FALSE,YRD,1,63,1,Anqing,YRD
2291A,环科院,安徽,安庆,117.0549,30.5103,N,FALSE,Anhui,Anqing,none,TRUE,FALSE,YRD,1,63,1,Anqing,YRD
2290A,市职教基地,安徽,铜陵,117.8472,30.9697,N,FALSE,Anhui,Tongling,neighbor2,TRUE,FALSE,YRD,15,298,15,Tongling,YRD
2289A,车站新区,安徽,铜陵,117.8561,30.9219,N,FALSE,Anhui,Tongling,neighbor2,TRUE,FALSE,YRD,15,298,15,Tongling,YRD
2288A,市第九中学,安徽,铜陵,117.7442,30.8811,N,FALSE,Anhui,Tongling,neighbor2,TRUE,FALSE,YRD,15,298,15,Tongling,YRD
2297A,黄山区政府5号楼,安徽,黄山,118.1371,30.2756,N,FALSE,Anhui,Huangshan,none,FALSE,FALSE,none,11,315,11,Huangshan,
2287A,市新民污水厂,安徽,铜陵,117.7806,30.9414,N,FALSE,Anhui,Tongling,neighbor2,TRUE,FALSE,YRD,15,298,15,Tongling,YRD
2309A,朝阳厂,安徽,六安,116.5068,31.7797,N,FALSE,Anhui,Lu'an,neighbor2,FALSE,FALSE,none,12,80,12,Lu'an,
2311A,污水处理厂,安徽,亳州,115.8067,33.8399,N,FALSE,Anhui,Bozhou,neighbor2,FALSE,FALSE,none,3,231,3,Bozhou,
2334A,南平七中,福建,南平,118.1756,26.6272,N,FALSE,Fujian,Nanping,none,FALSE,FALSE,none,22,88,22,Nanping,
2333A,南平铝业有限公司,福建,南平,118.1819,26.6514,N,FALSE,Fujian,Nanping,none,FALSE,FALSE,none,22,88,22,Nanping,
2332A,南平市监测站,福建,南平,118.1694,26.6383,N,FALSE,Fujian,Nanping,none,FALSE,FALSE,none,22,88,22,Nanping,
2331A,茫荡山,福建,南平,118.0966,26.6761,Y,FALSE,Fujian,Nanping,none,FALSE,FALSE,none,22,88,22,Nanping,
2327A,洋溪,福建,三明,117.7275,26.3108,Y,FALSE,Fujian,Sanming,none,FALSE,FALSE,none,26,16,26,Sanming,
2326A,三元区政府,福建,三明,117.6028,26.2378,N,FALSE,Fujian,Sanming,none,FALSE,FALSE,none,26,16,26,Sanming,
2325A,三明二中,福建,三明,117.6353,26.2708,N,FALSE,Fujian,Sanming,none,FALSE,FALSE,none,26,16,26,Sanming,
2324A,三钢,福建,三明,117.6211,26.2625,N,FALSE,Fujian,Sanming,none,FALSE,FALSE,none,26,16,26,Sanming,
2323A,东圳水库,福建,莆田,118.981,25.4792,Y,FALSE,Fujian,Putian,none,FALSE,FALSE,none,24,366,24,Putian,
2310A,开发区,安徽,六安,116.5661,31.7712,N,FALSE,Anhui,Lu'an,neighbor2,FALSE,FALSE,none,12,80,12,Lu'an,
2322A,秀屿区政府,福建,莆田,119.1015,25.3214,N,FALSE,Fujian,Putian,none,FALSE,FALSE,none,24,366,24,Putian,
2320A,莆田市监测站,福建,莆田,119.0018,25.4552,N,FALSE,Fujian,Putian,none,FALSE,FALSE,none,24,366,24,Putian,
