Wind,,,,,,,
Country,China,China,China,China,China,China,China
Name,China: Sales: Vehicle: YTD,China: Sales: New Energy Vehicles: YTD,China: Sales: New Energy Passenger Cars: YTD,China: Sales: New Energy Automobiles (Battery Electric): YTD,China: Sales: New Energy Automobiles (Plug-in Hybrid): YTD,China: Sales: New Energy Automobiles (Fuel Cell Vehicles): YTD,China: Market Share: New Energy Automobiles: YTD
Frequency,Month,Month,Month,Month,Month,Month,Month
Unit,10000 units,unit,unit,unit,unit,unit,%
ID,S0031542,S6125073,S6131320,S6125074,S6125075,S6136764,F2517409
Source,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers,Wind
Update,2025-01-13,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20
2003-12,439.08 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-01,30.41 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-02,73.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-03,127.77 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-04,177.57 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-05,217.18 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-06,255.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-07,289.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-08,328.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-09,372.93 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-10,413.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-11,458.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2004-12,507.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-01,36.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-02,68.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-03,126.66 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-04,180.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-05,227.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-06,279.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-07,322.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2005-08,364.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
