Wind,,
Name,China: Blast Furnace Starting Rate (247): Nationwide,China: Blast Furnace Refining Production Capacity Utilization (247): Nationwide
Frequency,Week,Week
Unit,%,%
ID,C1925068,O2244511
Time Period,2018-03-02:2024-10-18,2018-03-02:2024-10-18
Source,Wind,Wind
Update,2024-10-18,2024-10-18
2018-03-02,75.47 ,74.56 
2018-03-09,75.13 ,74.97 
2018-03-16,75.27 ,74.51 
2018-03-23,76.33 ,74.88 
2018-03-30,77.95 ,75.77 
2018-04-09,78.53 ,76.80 
2018-04-13,79.69 ,77.94 
2018-04-20,78.84 ,78.27 
2018-04-27,78.49 ,77.38 
2018-05-04,79.35 ,77.81 
2018-05-11,80.51 ,79.14 
2018-05-18,81.55 ,80.42 
2018-05-25,83.41 ,81.51 
2018-06-01,83.63 ,81.64 
2018-06-08,83.26 ,81.61 
2018-06-15,83.26 ,81.31 
2018-06-22,83.15 ,81.29 
2018-06-29,82.56 ,81.09 
2018-07-06,83.30 ,81.45 
2018-07-13,82.91 ,81.52 
2018-07-20,83.17 ,81.67 
2018-07-27,80.00 ,79.98 
2018-08-03,79.42 ,79.67 
2018-08-10,78.73 ,79.10 
2018-08-17,78.73 ,79.16 
2018-08-24,78.87 ,79.24 
2018-08-31,79.10 ,79.25 
2018-09-07,79.46 ,79.63 
2018-09-14,80.62 ,79.84 
2018-09-21,80.48 ,80.45 
2018-09-28,80.86 ,81.47 
2018-10-05,80.00 ,81.62 
2018-10-12,80.86 ,81.95 
2018-10-19,80.35 ,82.05 
2018-10-26,80.13 ,81.64 
2018-11-02,79.42 ,81.71 
2018-11-09,79.07 ,80.73 
2018-11-16,78.37 ,80.49 
2018-11-23,77.56 ,79.21 
2018-11-30,76.87 ,79.31 
2018-12-07,76.29 ,78.79 
2018-12-14,76.18 ,78.11 
2018-12-21,75.24 ,77.77 
2018-12-28,75.50 ,76.78 
2019-01-04,74.78 ,76.01 
2019-01-11,75.04 ,76.44 
2019-01-18,75.88 ,76.45 
2019-01-25,77.14 ,77.26 
2019-02-01,77.60 ,77.81 
2019-02-11,77.22 ,78.00 
2019-02-15,77.22 ,0.00 
2019-02-22,77.60 ,79.08 
2019-03-01,77.22 ,78.87 
2019-03-08,73.94 ,76.86 
2019-03-15,73.86 ,76.56 
2019-03-22,75.05 ,77.52 
2019-03-29,75.75 ,78.33 
2019-04-04,79.93 ,79.47 
2019-04-12,81.44 ,81.76 
2019-04-19,82.48 ,83.07 
2019-04-26,83.18 ,83.56 
2019-05-05,83.40 ,83.98 
2019-05-10,81.80 ,83.41 
2019-05-17,82.25 ,83.70 
2019-05-24,84.34 ,84.19 
2019-05-31,84.69 ,84.38 
2019-06-06,84.91 ,85.07 
2019-06-14,84.66 ,85.03 
2019-06-21,84.43 ,84.52 
2019-06-28,81.63 ,83.79 
2019-07-05,80.12 ,81.11 
2019-07-12,79.90 ,80.84 
2019-07-19,80.39 ,80.41 
2019-07-26,80.13 ,80.75 
2019-08-02,80.97 ,78.42 
2019-08-09,82.78 ,82.06 
2019-08-16,81.05 ,82.26 
2019-08-23,81.19 ,82.06 
2019-08-30,80.24 ,81.58 
2019-09-06,80.86 ,82.97 
2019-09-12,80.86 ,83.16 
2019-09-20,81.20 ,83.06 
2019-09-27,70.83 ,79.30 
2019-10-04,68.50 ,70.31 
2019-10-11,77.02 ,76.96 
2019-10-18,76.52 ,78.03 
2019-10-25,76.78 ,77.22 
2019-11-01,77.95 ,78.54 
2019-11-08,76.52 ,77.37 
2019-11-15,77.95 ,78.78 
2019-11-22,77.22 ,78.46 
2019-11-29,78.30 ,79.91 
2019-12-06,79.11 ,80.96 
2019-12-13,77.76 ,80.21 
2019-12-20,77.76 ,79.21 
2019-12-27,76.87 ,78.98 
2020-01-03,78.42 ,79.67 
2020-01-10,77.56 ,79.40 
2020-01-17,77.56 ,78.86 
2020-01-23,78.53 ,80.03 
2020-02-07,74.89 ,77.74 
2020-02-14,72.92 ,74.68 
2020-02-21,71.41 ,73.91 
2020-02-28,71.91 ,73.81 
2020-03-06,72.26 ,73.78 
2020-03-13,72.61 ,73.91 
2020-03-20,73.77 ,75.28 
2020-03-27,75.28 ,76.21 
2020-04-03,77.37 ,77.82 
2020-04-10,78.88 ,78.83 
2020-04-17,80.51 ,80.03 
2020-04-24,80.51 ,80.61 
2020-04-30,80.97 ,81.70 
2020-05-08,88.30 ,89.12 
2020-05-15,89.86 ,89.98 
2020-05-22,90.51 ,90.97 
2020-05-29,91.05 ,91.40 
2020-06-05,91.05 ,91.93 
2020-06-12,91.69 ,92.37 
2020-06-19,91.53 ,92.68 
2020-06-26,91.81 ,93.44 
2020-07-03,91.00 ,93.35 
2020-07-10,90.61 ,93.07 
2020-07-17,90.77 ,92.95 
2020-07-24,91.03 ,93.09 
2020-07-31,91.16 ,94.52 
2020-08-07,91.42 ,94.76 
2020-08-14,91.95 ,95.18 
2020-08-21,91.39 ,94.78 
2020-08-28,91.39 ,94.63 
2020-09-04,91.39 ,94.51 
2020-09-11,90.87 ,94.30 
2020-09-18,90.62 ,94.25 
2020-09-25,89.04 ,93.67 
2020-09-30,88.52 ,93.01 
2020-10-09,89.21 ,93.21 
2020-10-16,88.39 ,92.90 
2020-10-23,88.27 ,92.31 
2020-10-30,87.48 ,92.48 
2020-11-06,86.44 ,92.26 
2020-11-13,86.32 ,92.10 
2020-11-20,86.47 ,91.62 
2020-11-27,86.32 ,92.49 
2020-12-04,85.40 ,92.40 
2020-12-11,84.75 ,91.42 
2020-12-18,85.31 ,91.69 
2020-12-25,85.56 ,91.88 
2020-12-31,86.10 ,92.09 
2021-01-08,85.27 ,91.75 
2021-01-15,84.22 ,91.22 
2021-01-22,83.18 ,91.11 
2021-01-29,82.01 ,90.51 
2021-02-05,83.22 ,90.96 
2021-02-19,84.00 ,92.21 
2021-02-26,83.84 ,92.28 
2021-03-05,83.31 ,92.04 
2021-03-12,80.32 ,90.37 
2021-03-19,79.67 ,87.14 
2021-03-26,79.55 ,88.32 
2021-04-02,77.37 ,86.90 
2021-04-09,77.88 ,86.94 
2021-04-16,78.14 ,87.69 
2021-04-23,79.45 ,88.77 
2021-04-30,80.10 ,89.95 
2021-05-07,80.49 ,90.61 
2021-05-14,80.33 ,90.88 
2021-05-21,80.20 ,91.20 
2021-05-28,81.01 ,91.42 
2021-06-04,80.85 ,91.91 
2021-06-11,80.32 ,91.68 
2021-06-18,80.20 ,91.67 
2021-06-25,79.67 ,91.15 
2021-07-02,57.93 ,80.99 
2021-07-09,78.28 ,86.02 
2021-07-16,76.67 ,88.57 
2021-07-23,75.63 ,88.02 
2021-07-30,74.33 ,86.81 
2021-08-06,74.62 ,85.71 
2021-08-13,75.02 ,85.90 
2021-08-20,73.55 ,85.45 
2021-08-27,74.24 ,85.29 
2021-09-10,73.55 ,84.75 
2021-09-17,71.86 ,83.69 
2021-09-24,69.90 ,82.04 
2021-09-30,73.26 ,78.67 
2021-10-08,77.54 ,79.96 
2021-10-15,78.09 ,80.68 
2021-10-22,76.47 ,80.03 
2021-10-29,74.88 ,78.81 
2021-11-05,70.88 ,76.31 
2021-11-12,71.61 ,75.70 
2021-11-19,70.32 ,75.33 
2021-11-26,69.64 ,75.22 
2021-12-03,69.80 ,74.78 
2021-12-10,68.12 ,74.10 
2021-12-17,67.99 ,74.29 
2021-12-24,67.86 ,74.33 
2021-12-31,70.14 ,75.81 
2022-01-07,74.30 ,77.91 
2022-01-14,75.79 ,79.91 
2022-01-21,76.27 ,81.10 
2022-01-28,74.84 ,81.53 
2022-02-11,68.18 ,76.47 
2022-02-18,69.60 ,75.42 
2022-02-25,73.63 ,77.63 
2022-03-04,74.74 ,81.51 
2022-03-11,70.83 ,79.76 
2022-03-18,79.01 ,81.90 
2022-03-25,78.19 ,85.45 
2022-04-01,77.43 ,83.74 
2022-04-08,79.29 ,84.97 
2022-04-15,80.13 ,86.44 
2022-04-22,79.78 ,86.35 
2022-04-29,80.95 ,86.58 
2022-05-06,81.93 ,87.77 
2022-05-13,82.63 ,88.30 
2022-05-20,83.03 ,88.68 
2022-05-27,83.85 ,89.28 
2022-06-02,83.67 ,89.92 
2022-06-10,84.13 ,90.15 
2022-06-17,83.82 ,90.15 
2022-06-24,81.82 ,88.96 
2022-07-01,80.77 ,87.59 
2022-07-08,78.51 ,85.69 
2022-07-15,76.96 ,83.99 
2022-07-22,73.14 ,81.38 
2022-07-29,71.59 ,79.28 
2022-08-05,72.72 ,79.62 
2022-08-12,76.26 ,81.24 
2022-08-19,77.92 ,83.91 
2022-08-26,80.16 ,85.29 
2022-09-02,80.87 ,86.85 
2022-09-09,82.01 ,87.58 
2022-09-16,82.43 ,88.35 
2022-09-23,82.83 ,89.12 
2022-09-30,82.83 ,89.14 
2022-10-08,83.53 ,88.97 
2022-10-14,82.60 ,89.04 
2022-10-21,82.02 ,88.24 
2022-10-28,81.46 ,87.62 
2022-11-04,78.75 ,86.29 
2022-11-11,77.19 ,84.07 
2022-11-18,76.33 ,83.34 
2022-11-25,77.05 ,82.50 
2022-12-02,75.59 ,82.63 
2022-12-09,75.90 ,81.98 
2022-12-16,75.97 ,82.66 
2022-12-23,75.93 ,82.38 
2022-12-30,75.19 ,82.60 
2023-01-06,74.62 ,81.91 
2023-01-13,75.70 ,82.58 
2023-01-20,75.98 ,83.12 
2023-01-27,76.71 ,84.17 
2023-02-03,77.43 ,84.33 
2023-02-10,78.44 ,84.96 
2023-02-17,79.56 ,85.77 
2023-02-24,81.00 ,86.99 
2023-03-03,81.07 ,87.16 
2023-03-10,82.02 ,88.05 
2023-03-17,82.30 ,88.46 
2023-03-24,82.75 ,89.32 
2023-03-31,83.89 ,90.58 
2023-04-07,84.32 ,91.23 
2023-04-14,84.76 ,91.83 
2023-04-21,84.58 ,91.49 
2023-04-28,82.54 ,90.61 
2023-05-05,81.67 ,89.47 
2023-05-12,81.07 ,89.01 
2023-05-19,82.38 ,89.12 
2023-05-26,82.38 ,89.95 
2023-06-02,82.38 ,89.65 
2023-06-09,82.38 ,89.67 
2023-06-16,83.11 ,90.35 
2023-06-23,84.11 ,91.66 
2023-06-30,84.11 ,92.00 
2023-07-07,84.50 ,92.12 
2023-07-14,84.32 ,91.18 
2023-07-21,83.58 ,91.16 
2023-07-28,82.12 ,89.79 
2023-08-04,83.38 ,90.06 
2023-08-11,83.82 ,91.06 
2023-08-18,84.10 ,91.81 
2023-08-25,83.34 ,91.77 
2023-09-01,84.11 ,92.30 
2023-09-08,84.41 ,92.78 
2023-09-15,84.05 ,92.64 
2023-09-22,84.47 ,93.03 
2023-09-28,84.15 ,93.10 
2023-10-07,83.39 ,92.29 
2023-10-13,82.18 ,91.90 
2023-10-20,82.36 ,90.60 
2023-10-27,82.51 ,90.75 
2023-11-03,80.10 ,90.21 
2023-11-10,81.03 ,89.21 
2023-11-17,79.65 ,87.99 
2023-11-24,80.14 ,87.94 
2023-12-01,80.88 ,87.61 
2023-12-08,78.73 ,85.73 
2023-12-15,78.29 ,84.81 
2023-12-22,77.69 ,84.73 
2023-12-29,75.17 ,82.73 
2024-01-05,75.65 ,81.57 
2024-01-12,76.10 ,82.58 
2024-01-19,76.25 ,83.00 
2024-01-26,76.84 ,83.52 
2024-02-02,76.50 ,83.59 
2024-02-09,76.78 ,83.82 
2024-02-16,76.35 ,83.99 
2024-02-23,75.61 ,83.57 
2024-03-01,75.17 ,83.32 
2024-03-08,75.62 ,83.09 
2024-03-15,76.17 ,82.56 
2024-03-22,76.92 ,82.81 
2024-03-29,76.58 ,82.74 
2024-04-05,77.83 ,83.63 
2024-04-12,78.43 ,84.07 
2024-04-19,78.88 ,84.61 
2024-04-26,79.75 ,85.55 
2024-04-30,80.62 ,86.26 
2024-05-10,81.52 ,87.69 
2024-05-17,81.52 ,88.59 
2024-05-24,81.52 ,88.51 
2024-05-31,81.67 ,88.15 
2024-06-07,81.48 ,88.12 
2024-06-14,82.07 ,89.55 
2024-06-21,82.83 ,89.78 
2024-06-28,83.13 ,89.11 
2024-07-05,82.79 ,89.05 
2024-07-12,82.48 ,88.68 
2024-07-19,82.65 ,89.64 
2024-07-26,82.31 ,89.59 
2024-08-02,81.26 ,88.85 
2024-08-09,80.19 ,87.00 
2024-08-16,78.82 ,85.90 
2024-08-23,77.45 ,84.28 
2024-08-30,76.39 ,82.94 
2024-09-06,77.65 ,83.62 
2024-09-13,77.65 ,83.91 
2024-09-20,78.25 ,84.08 
2024-09-27,78.25 ,84.47 
2024-10-04,79.59 ,85.63 
2024-10-11,80.81 ,87.53 
2024-10-18,81.70 ,88.01 
