Country,China,China,China,China,China
Name,China: Completed Investment in Power Supply Construction: Hydro Power: YTD,China: Completed Investment in Power Supply Construction: Thermal Power: YTD,China: Completed Investment in Power Supply Construction: Nuclear Power: YTD,China: Completed Investment in Power Supply Construction: Wind Power: YTD,China: Completed Investment of Power Grid Construction: YTD
Frequency,Month,Month,Month,Month,Month
Unit,CNY 100mn,CNY 100mn,CNY 100mn,CNY 100mn,CNY 100mn
ID,S5108449,S5108450,S5108451,S5108452,S5108453
Source,Wind,Wind,Wind,Wind,Wind
Update,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26
2008-12,848.86 ,"1,678.50 ",329.49 ,527.27 ,"2,895.01 "
2009-07,331.57 ,626.00 ,265.06 ,266.39 ,"1,582.67 "
2009-08,381.00 ,710.00 ,312.00 ,292.00 ,"1,897.00 "
2009-09,438.49 ,831.64 ,373.90 ,344.73 ,"2,192.93 "
2009-10,504.92 ,"1,007.60 ",421.53 ,380.50 ,"2,487.72 "
2009-11,658.00 ,"1,187.00 ",479.00 ,493.00 ,"2,885.00 "
2009-12,867.19 ,"1,543.56 ",584.01 ,781.78 ,"3,898.30 "
2010-02,97.00 ,123.00 ,78.00 ,47.00 ,231.00 
2010-03,111.00 ,194.00 ,108.00 ,65.00 ,434.00 
2010-04,185.00 ,286.00 ,156.00 ,117.00 ,654.00 
2010-05,234.00 ,386.00 ,196.00 ,198.00 ,897.00 
2010-06,295.00 ,500.00 ,258.00 ,285.00 ,"1,214.00 "
2010-07,349.00 ,632.00 ,299.00 ,380.00 ,"1,450.00 "
2010-08,402.00 ,736.00 ,359.00 ,460.00 ,"1,693.00 "
2010-09,466.00 ,868.00 ,432.00 ,534.00 ,"1,977.00 "
2010-10,563.00 ,997.00 ,475.00 ,640.00 ,"2,249.00 "
2010-11,678.06 ,"1,110.84 ",541.37 ,729.78 ,"2,593.94 "
2010-12,819.18 ,"1,426.14 ",647.57 ,"1,037.55 ","3,448.10 "
2011-02,85.00 ,122.00 ,92.00 ,63.00 ,214.00 
2011-03,155.00 ,207.00 ,152.00 ,91.00 ,409.00 
2011-04,296.00 ,294.00 ,199.00 ,144.00 ,680.00 
2011-05,305.00 ,395.00 ,258.00 ,191.00 ,955.00 
2011-06,379.00 ,482.00 ,339.00 ,282.00 ,"1,290.00 "
2011-07,456.00 ,568.00 ,381.00 ,339.00 ,"1,562.00 "
2011-08,542.00 ,660.00 ,467.00 ,397.00 ,"1,841.00 "
2011-09,635.00 ,742.00 ,532.00 ,477.00 ,"2,201.00 "
2011-10,708.00 ,818.00 ,600.00 ,550.00 ,"2,574.00 "
2011-11,782.00 ,915.00 ,656.00 ,642.00 ,"3,114.00 "
2011-12,970.53 ,"1,133.32 ",763.96 ,902.43 ,"3,686.57 "
2012-02,163.00 ,79.00 ,105.00 ,96.00 ,229.00 
2012-03,276.00 ,141.00 ,171.00 ,128.00 ,432.00 
2012-04,348.39 ,208.14 ,204.91 ,131.74 ,667.94 
2012-05,443.63 ,295.39 ,253.79 ,143.18 ,"1,003.23 "
2012-06,553.45 ,401.33 ,321.27 ,176.83 ,"1,393.43 "
2012-07,625.59 ,479.49 ,377.65 ,216.17 ,"1,669.25 "
2012-08,727.60 ,544.31 ,436.95 ,264.68 ,"1,934.20 "
2012-09,820.95 ,630.55 ,519.40 ,343.49 ,"2,296.91 "
2012-10,912.27 ,716.64 ,597.40 ,414.98 ,"2,776.97 "
2012-11,"1,028.00 ",794.00 ,650.00 ,495.00 ,"3,179.00 "
2012-12,"1,238.78 ","1,002.48 ",784.48 ,607.37 ,"3,661.00 "
2013-02,163.04 ,92.74 ,71.53 ,49.91 ,328.88 
2013-03,248.45 ,162.08 ,120.90 ,72.82 ,581.85 
2013-04,327.62 ,224.64 ,158.12 ,115.71 ,866.20 
2013-05,454.06 ,299.59 ,190.22 ,147.44 ,"1,200.74 "
2013-06,513.00 ,384.00 ,263.00 ,186.00 ,"1,659.00 "
2013-07,749.40 ,442.14 ,300.29 ,243.62 ,"1,946.62 "
2013-08,827.90 ,523.81 ,347.35 ,294.34 ,"2,235.51 "
2013-09,917.42 ,632.09 ,408.78 ,331.42 ,"2,544.51 "
2013-10,988.45 ,699.94 ,457.17 ,392.29 ,"2,956.47 "
2013-11,"1,098.28 ",790.92 ,525.14 ,489.54 ,"3,373.45 "
2013-12,"1,246.00 ",928.00 ,609.00 ,630.87 ,"3,894.00 "
2014-02,98.80 ,84.90 ,61.00 ,28.96 ,400.16 
2014-03,153.00 ,140.00 ,107.00 ,60.00 ,660.00 
2014-04,189.83 ,202.77 ,142.15 ,105.55 ,947.60 
2014-05,251.00 ,271.00 ,186.00 ,182.00 ,"1,256.00 "
2014-06,334.00 ,355.00 ,238.00 ,276.00 ,"1,649.00 "
2014-07,387.00 ,421.00 ,276.00 ,357.00 ,"1,958.00 "
2014-08,444.00 ,477.00 ,312.00 ,444.00 ,"2,296.00 "
2014-09,571.90 ,573.80 ,377.50 ,540.17 ,"2,634.72 "
2014-10,664.98 ,658.97 ,425.84 ,636.36 ,"2,957.49 "
2014-11,785.28 ,782.97 ,470.37 ,740.13 ,"3,460.30 "
