Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Name,"China: Electricity Consumption: Agriculture, Forestry, Animal Husbandry and Fishery",(DC) China: Electricity Consumption: Agriculture,(DC) China: Electricity Consumption: Forestry,(DC) China: Electricity Consumption: Animal Husbandry,(DC) China: Electricity Consumption: Fishery,"(DC) China: Electricity Consumption: Service Activities for Agriculture, Forestry, Animal Husbandry and Fishery","(DC) China: Electricity Consumption: Service Activities for Agriculture, Forestry, Animal Husbandry and Fishery: Drainage and Irrigation",China: Electricity Consumption: Industry,China: Electricity Consumption: Mining,(DC) China: Electricity Consumption: Mining and Washing of Coal,(DC) China: Electricity Consumption: Extraction of Crude Petroleum and Natural Gas,(DC) China: Electricity Consumption: Mining and Dressing of Ferrous Metal Ores,(DC) China: Electricity Consumption: Mining and Processing of Non-Ferrous Metal Ores,(DC) China: Electricity Consumption: Mining and Processing of Nonmetal Ores,(DC) China: Electricity Consumption: Mining of Other Ores,China: Electricity Consumption: Manufacturing,China: Electricity Consumption: Processing of Food from Agricultural Products,China: Power Consumption: Manufacture of Foods,"China: Power Consumption: Manufacture of Liquor, Beverage and Refined Tea",China: Power Consumption: Manufacture of Tobacco,China: Power Consumption: Manufacture of Textile Apparel,"China: Power Consumption: Manufacture of Leather, Furs, Down and Related Products and Footware","China: Power Consumption: Processing of Timbers, Manufacture of Wood, Bamboo, Rattan, Palm and Straw Products",China: Power Consumption: Manufacture of Furniture,China: Electricity Consumption: Manufacture of Textile,China: Electricity Consumption: Manufacture of Paper and Paper Products,"China: Electricity Consumption: Printing, Reproduction of Recording Media","China: Power Consumption: Cultural, Educational, Arts and Sports Goods","(DC) China: Power Consumption: Cultural, Educational, Arts and Sports Goods: Manufacture of Sports Articles","China: Power Consumption: Processing of Petroleum, Coal, Other Fuel","(DC) China: Power Consumption: Processing of Petroleum, Coal, Other Fuel: Coal Chemical",China: Electricity Consumption: Manufacture of Chemical Materials and Chemical Products,(DC) China: Electricity Consumption: Manufacture of Chemical Materials and Chemical Products: Chlor-alkali,(DC) China: Electricity Consumption: Manufacture of Chemical Materials and Chemical Products: Calcium Carbide,(DC) China: Electricity Consumption: Manufacture of Chemical Materials and Chemical Products: Yellow Phosphorous,(DC) China: Electricity Consumption: Manufacture of Chemical Materials and Chemical Products: Manufacture of Chemical Fertilizer,China: Electricity Consumption: Manufacture of Medicines,(DC) China: Power Consumption: Manufacture of Medicines: Manufacturing of Chinese Patent Drugs,(DC) China: Power Consumption: Manufacture of Medicines: Biological Drug Products Manufacturing,China: Electricity Consumption: Manufacture of Chemical Fibers,China: Electricity Consumption: Manufacture of Rubber and Plastic Products,(DC) China: Power Consumption: Manufacture of Rubber and Plastic Products: Manufacture of Rubber Products,(DC) China: Power Consumption: Manufacture of Rubber and Plastic Products: Manufacture of Plastic Products,China: Electricity Consumption: Manufacture of Non-metallic Mineral Products,(DC) China: Electricity Consumption: Manufacture of Non-metallic Mineral Products: Manufacture of Cement,(DC) China: Power Consumption: Manufacture of Non-metallic Mineral Products: Glass Manufacturing,(DC) China: Power Consumption: Manufacture of Non-metallic Mineral Products: Manufacture of Ceramic Products,(DC) China: Power Consumption: Manufacture of Non-metallic Mineral Products: Carbides of Silicon,China: Electricity Consumption: Smelting and Pressing of Ferrous Metals,(DC) China: Electricity Consumption: Smelting and Pressing of Ferrous Metals: Smelting of Ferroalloy,(DC) China: Power Consumption: Smelting and Pressing of Ferrous Metals: Iron and Steel,China: Electricity Consumption: Smelting and Pressing of Non-ferrous Metals,(DC) China: Electricity Consumption: Smelting and Pressing of Non-ferrous Metals: Smelting of Aluminum,(DC) China: Power Consumption: Smelting and Pressing of Non-ferrous Metals: Smelting of Lead and Zinc,(DC) China: Power Consumption: Smelting and Pressing of Non-ferrous Metals: Smelting of Rare Earth Metals,China: Electricity Consumption: Manufacture of Metal Products,(DC) China: Power Consumption: Manufacture of Metal Products: Manufacture of Structural Metal Products,China: Power Consumption: Manufacture of General Purpose Machinery,(DC) China: Power Consumption: Manufacture of General Purpose Machinery: Manufacturing of Wind Power Equipment,China: Power Consumption: Manufacture of Special Purpose Machinery,(DC) China: Power Consumption: Manufacture of Special Purpose Machinery: Manufacture of Medical Equipment and Appliances,China: Power Consumption: Manufacture of Automobile,(DC) China: Power Consumption: Manufacture of Automobile: New Energy Vehicle Manufacturing,"China: Power Consumption: Manufacture of Railways, Ships, Aircrafts, Spacecrafts and Other Transportation Equipment","(DC) China: Power Consumption: Manufacture of Railways, Ships, Aircrafts, Spacecrafts and Other Transportation Equipment: Manufacture of Railway Transport Equipment","(DC) China: Power Consumption: Manufacture of Railways, Ships, Aircrafts, Spacecrafts and Other Transportation Equipment: Manufacturing of Urban Railway Transit Vehicles","(DC) China: Power Consumption: Manufacture of Railways, Ships, Aircrafts, Spacecrafts and Other Transportation Equipment: Manufacture of Aircrafts and Spacecrafts and Related Equipment",China: Power Consumption: Manufacture of Electrical Machinery and Equipment,(DC) China: Power Consumption: Manufacture of Electrical Machinery and Equipment: Manufacturing of Photovoltaic Equipment and Components,"China: Power Consumption: Manufacture of Computers, Communication Devices and Other Electronics","(DC) China: Power Consumption: Manufacture of Computers, Communication Devices and Other Electronics: Computer Manufacturing","(DC) China: Power Consumption: Manufacture of Computers, Communication Devices and Other Electronics: Manufacture of Communication Equipment",China: Power Consumption: Manufacture of Instruments and Meters,China: Power Consumption: Other Manufacturing,China: Power Consumption: Discarded Resources and Waste Materials Recovery and Processing,"China: Power Consumption: Repairing of Metalware, Machinery and Equipment","China: Electricity Consumption: Production and Supply of Electricity, Gas and Water",(DC) China: Electricity Consumption: Production and Supply of Electricity and Heat,(DC) China: Electricity Consumption: Production and Supply of Electricity and Heat: Electricity Consumed in Electricity Generation of Power Plant,(DC) China: Electricity Consumption: Production and Supply of Electricity and Heat: Losses in Electrictiy Transmission,(DC) China: Electricity Consumption: Production and Supply of Electricity and Heat: Electricity Consumption by Pump-storage Plants,(DC) China: Electricity Consumption: Production and Supply of Gas,(DC) China: Electricity Consumption: Production and Supply of Water,China: Electricity Consumption: Construction,(DC) China: Power Consumption: Construction: Housing Construction,(DC) China: Power Consumption: Construction: Civil Engineering Construction,(DC) China: Power Consumption: Construction: Building Installation,"(DC) China: Power Consumption: Construction: Building Decoration, Fitment and Other Construction","China: Electricity Consumption: Transport, Storage and Post",(DC) China: Power Consumption: Railway Transport,(DC) China: Power Consumption: Road Transport,(DC) China: Power Consumption: Water Transport,(DC) China: Power Consumption: Water Transport: Port Shore Power,(DC) China: Power Consumption: Air Transportation Industry,(DC) China: Power Consumption: Intermodality and Transportation Agency,(DC) China: Power Consumption: Handling and Storage,(DC) China: Electricity Consumption: Transport: Transport via Pipelines,(DC) China: Electricity Consumption: Transport: Electrified Railway,(DC) China: Electricity Consumption: Post,"China: Power Consumption: Information Transmission, Software and Information Technology Services","(DC) China: Power Consumption: Telecommunication, Broadcasting and Satellite Transmission",(DC) China: Power Consumption: Internet and Related Services,(DC) China: Power Consumption: Internet and Related Services: Internet Data Service,(DC) China: Power Consumption: Software and Information Technology Services,China: Electricity Consumption: Wholesale and Retail Trades,(DC) China: Power Consumption: Wholesale and Retail Trades: Charging and Replacing Service,"China: Electricity Consumption: Business, Hotels and Catering Services","China: Electricity Consumption: Finance, Real Estate, Business and Resident Services",China: Electricity Consumption: Finance,China: Electricity Consumption: Real Estate,China: Power Consumption: Leasing and Business Services,(DC) China: Power Consumption: Leasing and Business Services: Leasing,China: Power Consumption: Public Service and Management Organization,(DC) China: Power Consumption: Scientific Research and Technical Services,(DC) China: Power Consumption: Scientific Research and Technical Services: Science and Technology Promotion and Application Service,(DC) China: Electricity Consumption: Geologic Perambulation,"(DC) China: Electricity Consumption: Management of Water Conservancy, Environment and Public Utilities",(DC) China: Electricity Consumption: Management of Water Conservancy,(DC) China: Electricity Consumption: Public Lighting,"(DC) China: Electricity Consumption: Education, Culture, Sports and Entertainment",(DC) China: Electricity Consumption: Education,"(DC) China: Power Consumption: Household Services, Maintainance and Other Services",(DC) China: Power Consumption: Health and Social Work,(DC) China: Electricity Consumption: Public Management and Social Organization and International Organizations,China: Electricity Consumption by Urban and Rural Households,(DC) China: Electricity Consumption by Urban Households,(DC) China: Electricity Consumption by Rural Households,China: Electricity Consumption: Whole Society
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Unit,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh,10000 kwh
ID,S5100030,S5100031,S5100032,S5100033,S5100034,S5100035,S5100036,S5100037,S5100040,S5100041,S5100042,S5100043,S5100044,S5100045,S5100046,S5100047,S5100049,S5134729,S5134730,S5134731,S5134732,S5134733,S5134734,S5134735,S5100050,S5100054,S5100055,S5134736,S5134737,S5134738,S5134739,S5100058,S5100060,S5100061,S5100062,S5100063,S5100064,S5134740,S5134741,S5100065,S5100066,S5134742,S5134743,S5100068,S5100070,S5134744,S5134745,S5134746,S5100071,S5100072,S5134747,S5100073,S5100074,S5134748,S5134749,S5100075,S5134750,S5134751,S5134752,S5134753,S5134754,S5134755,S5134756,S5134757,S5134758,S5134759,S5134760,S5134761,S5134762,S5134763,S5134764,S5134765,S5134766,S5134767,S5134768,S5134769,S5100084,S5100085,S5100086,S5100087,S5100088,S5100089,S5100090,S5100092,S5134771,S5134772,S5134773,S5134774,S5100093,S5134775,S5134776,S5134777,S5134778,S5134779,S5134780,S5134781,S5100096,S5100097,S5100099,S5134782,S5134783,S5134784,S5134785,S5134786,S5100104,S5134787,S5100105,S5100106,S5100107,S5100108,S5134788,S5134789,S5134790,S5134791,S5134792,S5100112,S5100113,S5100114,S5100115,S5100116,S5100117,S5134793,S5134794,S5100119,S5100026,S5100027,S5100028,S5100021
Source,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,According to the Press Finishing,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,National Energy Administration of the People's Republic of China,Wind,Wind,National Energy Administration of the People's Republic of China
Update,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-11-29,2024-11-29,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-11-29,2017-12-18,2024-11-29,2024-11-29,2024-11-29,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-11-29,2024-05-30,2024-05-30,2024-11-29
2006-03,"523,297.00 ","150,582.00 ","16,118.00 ","23,824.00 ","27,850.00 ",0.00 ,0.00 ,"15,460,283.00 ","1,028,660.00 ","385,632.00 ","262,801.00 ","218,910.60 ","162,236.60 ","112,597.00 ","27,736.40 ","10,619,518.00 ","208,251.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"764,160.00 ","360,720.00 ","60,690.80 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,730,490.00 ","235,418.40 ","324,349.40 ","57,326.80 ","553,117.00 ","152,792.20 ",0.00 ,0.00 ,"236,068.60 ","454,401.00 ",0.00 ,0.00 ,"987,879.00 ","535,240.00 ",0.00 ,0.00 ,0.00 ,"2,077,444.00 ","341,477.00 ",0.00 ,"1,329,582.00 ","769,872.00 ",0.00 ,0.00 ,"408,680.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,957,949.00 ","3,660,406.00 ","1,611,463.00 ","1,830,705.00 ","85,838.60 ","35,604.40 ","193,905.60 ","150,850.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"335,626.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"23,203.40 ","173,315.00 ","32,857.80 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"320,552.00 ",0.00 ,"200,085.00 ","389,335.00 ","103,912.60 ","159,204.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,407.00 ","134,782.80 ","25,615.20 ",0.00 ,"172,082.00 ",0.00 ,0.00 ,0.00 ,"166,377.00 ","2,236,356.00 ","1,318,691.00 ","917,665.00 ","20,276,079.00 "
2006-04,"679,689.00 ","170,060.00 ","16,164.00 ","24,623.00 ","33,433.00 ",0.00 ,0.00 ,"16,965,013.00 ","1,163,515.00 ","449,984.00 ","246,285.00 ","218,910.60 ","162,236.60 ","112,597.00 ","27,736.40 ","12,227,127.00 ","208,251.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"850,100.00 ","374,612.00 ","60,690.80 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,894,048.00 ","235,418.40 ","324,349.40 ","57,326.80 ","594,607.00 ","152,792.20 ",0.00 ,0.00 ,"236,068.60 ","544,218.00 ",0.00 ,0.00 ,"1,305,626.00 ","692,886.00 ",0.00 ,0.00 ,0.00 ,"2,443,498.00 ","501,124.00 ",0.00 ,"1,497,974.00 ","898,094.00 ",0.00 ,0.00 ,"486,203.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,957,949.00 ","3,393,452.00 ","1,502,882.00 ","1,762,543.00 ","85,838.60 ","35,604.40 ","193,905.60 ","210,976.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"359,290.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"23,203.40 ","173,215.00 ","32,857.80 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"342,600.00 ",0.00 ,"208,042.00 ","376,300.00 ","103,912.60 ","162,853.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,407.00 ","134,783.10 ","25,615.20 ",0.00 ,"196,471.00 ",0.00 ,0.00 ,0.00 ,"157,123.00 ","2,331,819.00 ","1,367,406.00 ","964,413.00 ","22,167,200.00 "
2006-05,"773,016.00 ","195,750.00 ","16,181.00 ","24,324.00 ","30,994.00 ",0.00 ,0.00 ,"17,349,587.00 ","1,186,808.00 ","478,514.00 ","230,266.00 ","218,910.60 ","162,236.60 ","112,597.00 ","27,736.40 ","12,848,974.00 ","208,251.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"884,026.00 ","392,762.00 ","60,690.80 ",0.00 ,0.00 ,0.00 ,0.00 ,"2,006,978.00 ","235,418.40 ","324,349.40 ","57,326.80 ","599,027.00 ","152,792.20 ",0.00 ,0.00 ,"236,068.60 ","570,787.00 ",0.00 ,0.00 ,"1,462,700.00 ","756,887.00 ",0.00 ,0.00 ,0.00 ,"2,520,000.00 ","466,845.00 ",0.00 ,"1,494,436.00 ","839,512.00 ",0.00 ,0.00 ,"530,787.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,957,949.00 ","4,064,524.00 ","1,403,345.00 ","1,518,891.00 ","85,838.60 ","35,604.40 ","193,905.60 ","211,877.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"358,010.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"23,203.70 ","170,892.00 ","32,857.80 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"345,233.00 ",0.00 ,"243,622.00 ","379,397.00 ","103,912.60 ","156,971.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,407.00 ","134,782.90 ","25,615.20 ",0.00 ,"182,528.00 ",0.00 ,0.00 ,0.00 ,"153,695.00 ","2,326,951.00 ","1,392,064.00 ","934,887.00 ","22,659,300.00 "
2006-06,"886,543.00 ","259,372.00 ","15,356.00 ","24,022.00 ","36,481.00 ",0.00 ,0.00 ,"18,050,371.00 ","1,169,002.00 ","458,961.00 ","219,835.00 ","218,910.60 ","162,236.60 ","112,597.00 ","27,736.40 ","13,120,909.00 ","208,251.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"908,703.00 ","372,120.00 ","60,690.80 ",0.00 ,0.00 ,0.00 ,0.00 ,"1,986,096.00 ","235,418.40 ","324,349.40 ","57,326.80 ","575,526.00 ","152,792.20 ",0.00 ,0.00 ,"236,068.60 ","560,624.00 ",0.00 ,0.00 ,"1,467,299.00 ","779,934.00 ",0.00 ,0.00 ,0.00 ,"2,629,072.00 ","531,398.00 ",0.00 ,"1,610,131.00 ","933,347.00 ",0.00 ,0.00 ,"524,279.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,957,949.00 ","2,612,914.00 ","1,534,566.00 ","1,825,576.00 ","85,838.90 ","35,604.40 ","193,905.60 ","220,157.00 ",0.00 ,0.00 ,0.00 ,0.00 ,"385,713.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"23,203.40 ","187,785.00 ","32,857.80 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"425,213.00 ",0.00 ,"260,861.00 ","426,905.00 ","103,912.60 ","173,577.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"5,407.00 ","134,782.80 ","25,615.20 ",0.00 ,"207,192.00 ",0.00 ,0.00 ,0.00 ,"166,872.00 ","2,381,504.00 ","1,406,429.00 ","975,075.00 ","23,787,097.00 "
