Wind,,,,,
Country,China,China,China,China,China
Name,China: Electricity Consumption: Whole Society: YTD,China: Overall Social Power Consumption: Primary Industry: YTD,China: Overall Social Power Consumption: Secondary Industry: YTD,China: Overall Social Power Consumption: Tertiary Industry: YTD,China: Electricity Consumption by Urban and Rural Residents: YTD
Frequency,Month,Month,Month,Month,Month
Unit,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh
ID,S0048389,S0048390,S0048391,S0048392,S0048393
Source,National Energy Administration of the People's Republic of China,National Energy Administration of the People's Republic of China,National Energy Administration of the People's Republic of China,National Energy Administration of the People's Republic of China,National Energy Administration of the People's Republic of China
Update,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20
2003-05,"7,096.80 ",213.50 ,"5,254.32 ",799.38 ,829.60 
2003-06,"8,616.75 ",278.71 ,"6,389.78 ",956.40 ,991.86 
2003-07,"10,417.76 ",344.31 ,"7,737.03 ","1,149.44 ","1,186.98 "
2003-08,"12,138.57 ",404.54 ,"8,961.47 ","1,352.06 ","1,420.50 "
2003-09,"13,741.67 ",455.06 ,"10,101.64 ","1,553.03 ","1,631.94 "
2003-10,"15,338.44 ",501.90 ,"11,268.56 ","1,723.70 ","1,844.28 "
2003-11,"16,839.78 ",544.97 ,"12,423.97 ","1,884.87 ","1,985.96 "
2003-12,"18,910.00 ",600.00 ,"13,935.00 ",0.00 ,"2,265.00 "
2004-02,"3,119.87 ",71.42 ,"2,299.51 ",370.32 ,378.61 
2004-03,"4,804.55 ",112.57 ,"3,578.33 ",552.20 ,561.45 
2004-04,"6,504.83 ",168.17 ,"4,873.90 ",730.24 ,732.52 
2004-05,"8,187.79 ",221.93 ,"6,163.58 ",905.70 ,896.59 
2004-06,"9,976.25 ",281.42 ,"7,512.67 ","1,106.74 ","1,075.41 "
2004-07,"11,927.80 ",340.44 ,"8,967.72 ","1,339.40 ","1,280.24 "
2004-08,"13,878.74 ",398.51 ,"10,375.27 ","1,575.19 ","1,529.78 "
2004-09,"15,713.11 ",451.80 ,"11,701.95 ","1,791.70 ","1,767.66 "
2004-10,"17,582.87 ",497.99 ,"13,122.70 ","1,989.40 ","1,972.78 "
2004-11,"19,458.40 ",547.94 ,"14,554.23 ","2,191.55 ","2,164.69 "
2004-12,"21,735.00 ",612.00 ,"16,258.00 ",0.00 ,"2,430.00 "
2005-02,"3,571.81 ",84.90 ,"2,650.70 ",400.57 ,435.64 
2005-03,"5,505.64 ",131.73 ,"4,106.53 ",594.59 ,672.78 
2005-04,"7,432.30 ",194.92 ,"5,569.18 ",788.61 ,879.58 
2005-05,"9,395.74 ",265.00 ,"7,081.18 ",961.83 ,"1,087.73 "
2005-06,"11,486.99 ",340.45 ,"8,695.77 ","1,154.07 ","1,296.69 "
2005-07,"13,861.94 ",425.79 ,"10,429.58 ","1,416.82 ","1,589.75 "
2005-08,"16,113.87 ",501.09 ,"12,074.76 ","1,664.95 ","1,873.07 "
2005-09,"18,238.79 ",563.94 ,"13,645.26 ","1,912.42 ","2,117.16 "
2005-10,"20,324.59 ",624.79 ,"15,210.99 ","2,128.44 ","2,360.36 "
2005-11,"21,840.81 ",657.45 ,"16,326.66 ","2,309.77 ","2,546.93 "
2005-12,"24,689.00 ",741.00 ,"18,478.00 ","2,631.00 ","2,838.00 "
2006-02,"4,222.27 ",95.45 ,"3,092.92 ",482.03 ,551.86 
2006-03,"6,249.87 ",147.78 ,"4,654.04 ",672.55 ,775.50 
2006-04,"8,466.59 ",215.75 ,"6,371.64 ",870.52 ,"1,008.68 "
2006-05,"10,732.52 ",293.05 ,"8,127.79 ","1,070.31 ","1,241.37 "
2006-06,"13,111.23 ",381.70 ,"9,954.84 ","1,295.16 ","1,479.53 "
2006-07,"15,711.86 ",459.77 ,"11,920.83 ","1,557.92 ","1,773.34 "
2006-08,"18,387.01 ",554.80 ,"13,886.41 ","1,837.40 ","2,108.39 "
