Wind,,,,,,,,,,,,,,,,
Name,Newly-added Installed Capacity of Power Generation: Hydro Power: YTD,Newly-added Installed Capacity of Power Generation: Thermal Power: YTD,Newly-added Installed Capacity of Power Generation: Nuclear Power: YTD,Newly-added Installed Capacity of Power Generation: Wind Power: YTD,Generating Capacity of New Equipment: Solar: YTD,New Equipment Capacity for Power Generation: Thermal Power: Coal: YTD,New Equipment Capacity for Power Generation: Thermal Power: Gas: YTD,Installed Power Generation Capacity: YTD,Installed Power Generation Capacity: Hydropower: YTD,Installed Power Generation Capacity: Thermal Power: YTD,Installed Power Generation Capacity: Nuclear Power: YTD,Installed Power Generation Capacity: Wind Power: YTD,Installed Power Generation Capacity: Hydropower: Conventional Hydropower: YTD,Installed Power Generation Capacity: Thermal Power: Coal: YTD,Installed Power Generation Capacity: Thermal Power: Gas: YTD,Installed Capacity: Solar Power Generation: National: YTD
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Unit,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw
ID,S5108455,S5108456,S5108457,S5108458,S5119573,S5151695,S5151696,S5151657,S5151658,S5151659,S5151660,S5151661,S5151687,S5151688,S5151689,S5150404
Time Period,2008-12:2024-09,2008-12:2024-09,2010-09:2024-09,2008-12:2024-09,2009-12:2024-09,2017-12:2024-08,2017-12:2024-08,2012-12:2024-09,2012-12:2024-09,2012-12:2024-09,2012-12:2024-09,2012-12:2024-09,2020-06:2024-08,2017-12:2024-08,2017-12:2024-08,2018-02:2024-08
Source,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
Update,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-09-27,2024-09-27,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-10-21,2024-09-27,2024-09-27,2024-09-27,2024-09-27
2008-12,"2,148.27 ","6,554.54 ",0.00 ,499.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2009-04,380.78 ,"1,257.50 ",0.00 ,88.64 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2009-05,509.29 ,"1,575.90 ",0.00 ,118.19 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2009-06,704.62 ,"2,197.43 ",0.00 ,198.83 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
