Wind,,
Country,China,China
Name,China: Sales: Passenger Car,China: Sales: Passenger Car (Battery Electric)
Frequency,Month,Month
Unit,unit,unit
ID,S0105711,S6129663
Source,China Association of Automobile Manufacturers,China Association of Automobile Manufacturers
Update,2024-09-14,2024-09-14
2005-01,"243,053.00 ",0.00 
2005-02,"213,534.00 ",0.00 
2005-03,"355,752.00 ",0.00 
2005-04,"337,033.00 ",0.00 
2005-05,"317,390.00 ",0.00 
2005-06,"375,472.00 ",0.00 
2005-07,"315,648.00 ",0.00 
2005-08,"292,435.00 ",0.00 
2005-09,"354,040.00 ",0.00 
2005-10,"319,885.00 ",0.00 
2005-11,"393,615.00 ",0.00 
2005-12,"455,767.00 ",0.00 
2006-01,"418,942.00 ",0.00 
2006-02,"344,493.00 ",0.00 
2006-03,"485,957.00 ",0.00 
2006-04,"468,438.00 ",0.00 
2006-05,"393,613.00 ",0.00 
2006-06,"396,433.00 ",0.00 
2006-07,"332,587.00 ",0.00 
2006-08,"377,953.00 ",0.00 
2006-09,"455,701.00 ",0.00 
2006-10,"409,962.00 ",0.00 
2006-11,"499,655.00 ",0.00 
2006-12,"564,812.00 ",0.00 
2007-01,"552,518.00 ",0.00 
2007-02,"417,651.00 ",0.00 
2007-03,"567,000.00 ",0.00 
2007-04,"545,824.00 ",0.00 
2007-05,"488,490.00 ",0.00 
2007-06,"511,934.00 ",0.00 
2007-07,"457,162.00 ",0.00 
2007-08,"481,342.00 ",0.00 
2007-09,"560,976.00 ",0.00 
2007-10,"496,928.00 ",0.00 
2007-11,"582,750.00 ",0.00 
2007-12,"635,346.00 ",0.00 
2008-01,"661,938.00 ",0.00 
2008-02,"488,864.00 ",0.00 
2008-03,"700,505.00 ",0.00 
2008-04,"604,920.00 ",0.00 
2008-05,"564,637.00 ",0.00 
2008-06,"588,361.00 ",0.00 
2008-07,"488,219.00 ",0.00 
2008-08,"451,299.00 ",0.00 
2008-09,"552,808.00 ",0.00 
2008-10,"538,457.00 ",0.00 
2008-11,"522,843.00 ",0.00 
2008-12,"584,609.00 ",0.00 
2009-01,"610,596.00 ",0.00 
2009-02,"607,299.00 ",0.00 
2009-03,"772,353.00 ",0.00 
2009-04,"830,974.00 ",0.00 
2009-05,"829,071.00 ",0.00 
2009-06,"872,894.00 ",0.00 
2009-07,"832,596.00 ",0.00 
2009-08,"858,278.00 ",0.00 
2009-09,"1,015,069.00 ",0.00 
2009-10,"946,463.00 ",0.00 
2009-11,"1,036,422.00 ",0.00 
2009-12,"1,103,348.00 ",0.00 
2010-01,"1,315,990.00 ",0.00 
2010-02,"942,942.00 ",0.00 
2010-03,"1,264,958.00 ",0.00 
2010-04,"1,110,874.00 ",0.00 
2010-05,"1,043,220.00 ",0.00 
2010-06,"1,042,818.00 ",0.00 
2010-07,"946,172.00 ",0.00 
2010-08,"1,018,977.00 ",0.00 
2010-09,"1,211,428.00 ",0.00 
2010-10,"1,203,174.00 ",0.00 
2010-11,"1,339,756.00 ",0.00 
2010-12,"1,308,575.00 ",0.00 
2011-01,"1,528,965.00 ",0.00 
2011-02,"967,242.00 ",0.00 
2011-03,"1,347,569.00 ",0.00 
