Wind,,,,,,,,,,,,,,
Name,Output: Natural Crude Oil: YTD,Quantity of Imports: Crude Oil: YTD,China: Volume of Imports: Finished Oil Products (The Customs' Statistical Standard): YTD,China: Volume of Exports: Finished Oil Products (The Customs' Statistical Standard): YTD,China: Volume of Imports: Natural Gas: YTD,China: Output: Natural Gas: YTD,China: Output: Processing of Petroleum: YTD,China: Output: Raw Coal: Total: YTD,China: Quantity of Imports: Coal and Lignite,China: Output: Gasoline: YTD,China: Output: Diesel Oil: YTD,China: Output: Kerosene: YTD,,
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,,
Unit,10000 tons,10000 tons,10000 tons,10000 tons,100 million m³,100 million m³,ton,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,,
ID,S0027037,S0027236,S0027242,S0027245,S5426748,S0027041,S0073134,S5117148,S0173743,S0027045,S0027049,S0027053,,
Time Period,1989-02:2024-09,1995-01:2024-09,2003-07:2024-09,2003-07:2024-09,1995-01:2024-08,1989-01:2024-09,1989-01:2024-09,1989-01:2024-09,1995-01:2024-09,1989-02:2024-08,1989-02:2024-08,1989-02:2024-08,,
Source,National Bureau of Statistics of China,China Customs,China Customs,China Customs,China Customs,National Bureau of Statistics of China,National Bureau of Statistics of China,According to the Press Finishing,China Customs,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,,
Update,2024-10-18,2024-10-18,2024-10-18,2024-10-18,2024-09-25,2024-10-18,2024-10-18,2024-10-21,2024-10-18,2024-09-19,2024-09-19,2024-09-19,,
1989-01,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.01 ,"8,457,000.00 ","7,436.00 ",0.00 ,0.00 ,0.00 ,0.00 ,,
1989-02,"2,187.40 ",0.00 ,0.00 ,0.00 ,0.00 ,24.41 ,"16,912,000.00 ","13,281.00 ",0.00 ,345.20 ,404.50 ,64.80 ,,
1989-03,"3,340.40 ",0.00 ,0.00 ,0.00 ,0.00 ,35.64 ,"25,631,000.00 ","21,698.00 ",0.00 ,490.60 ,607.90 ,100.80 ,,
1989-04,"4,449.30 ",0.00 ,0.00 ,0.00 ,0.00 ,48.54 ,"33,741,000.00 ","30,309.00 ",0.00 ,642.10 ,806.60 ,132.60 ,,
1989-05,"5,604.20 ",0.00 ,0.00 ,0.00 ,0.00 ,61.44 ,"42,648,000.00 ","39,246.00 ",0.00 ,801.90 ,"1,021.40 ",164.50 ,,
1989-06,"6,728.50 ",0.00 ,0.00 ,0.00 ,0.00 ,74.37 ,"51,587,000.00 ","48,776.00 ",0.00 ,967.70 ,"1,243.60 ",198.10 ,,
1989-07,"7,891.10 ",0.00 ,0.00 ,0.00 ,0.00 ,86.94 ,"60,741,000.00 ","57,232.00 ",0.00 ,"1,143.70 ","1,464.70 ",232.30 ,,
1989-08,"9,066.90 ",0.00 ,0.00 ,0.00 ,0.00 ,99.95 ,"70,193,000.00 ","66,119.00 ",0.00 ,"1,324.90 ","1,697.40 ",269.20 ,,
1989-09,"10,204.00 ",0.00 ,0.00 ,0.00 ,0.00 ,112.42 ,"79,198,000.00 ","74,862.00 ",0.00 ,"1,499.30 ","1,917.50 ",300.60 ,,
1989-10,"11,400.60 ",0.00 ,0.00 ,0.00 ,0.00 ,123.95 ,"88,399,000.00 ","81,636.00 ",0.00 ,"1,678.20 ","2,130.20 ",333.90 ,,
1989-11,"12,599.60 ",0.00 ,0.00 ,0.00 ,0.00 ,136.37 ,"97,911,000.00 ","92,508.00 ",0.00 ,"1,869.40 ","2,356.00 ",368.30 ,,
1989-12,"13,745.10 ",0.00 ,0.00 ,0.00 ,0.00 ,149.42 ,"107,170,000.00 ","102,557.00 ",0.00 ,"2,055.80 ","2,569.20 ",395.20 ,,
1990-01,"1,152.80 ",0.00 ,0.00 ,0.00 ,0.00 ,12.82 ,"9,267,000.00 ","7,168.00 ",0.00 ,188.20 ,215.50 ,31.00 ,,
1990-02,"2,229.50 ",0.00 ,0.00 ,0.00 ,0.00 ,24.55 ,"18,455,000.00 ","14,187.00 ",0.00 ,365.10 ,447.30 ,56.60 ,,
1990-03,"3,403.40 ",0.00 ,0.00 ,0.00 ,0.00 ,37.42 ,"28,309,000.00 ","23,007.00 ",0.00 ,556.50 ,729.10 ,92.20 ,,
1990-04,"4,508.10 ",0.00 ,0.00 ,0.00 ,0.00 ,49.67 ,"37,411,000.00 ","32,773.00 ",0.00 ,740.60 ,981.30 ,128.70 ,,
1990-05,"5,676.10 ",0.00 ,0.00 ,0.00 ,0.00 ,62.69 ,"46,612,000.00 ","42,117.00 ",0.00 ,921.40 ,"1,229.80 ",168.00 ,,
1990-06,"6,815.10 ",0.00 ,0.00 ,0.00 ,0.00 ,75.60 ,"55,593,000.00 ","51,758.00 ",0.00 ,"1,099.50 ","1,527.20 ",202.80 ,,
1990-07,"7,971.10 ",0.00 ,0.00 ,0.00 ,0.00 ,88.50 ,"65,230,000.00 ","60,294.00 ",0.00 ,"1,287.70 ","2,029.20 ",242.20 ,,
1990-08,"9,140.70 ",0.00 ,0.00 ,0.00 ,0.00 ,101.10 ,"74,636,000.00 ","68,870.00 ",0.00 ,"1,476.80 ","2,264.80 ",276.50 ,,
1990-09,"10,283.00 ",0.00 ,0.00 ,0.00 ,0.00 ,113.39 ,"83,508,000.00 ","77,390.00 ",0.00 ,"1,659.70 ","1,985.40 ",306.20 ,,
1990-10,"11,465.70 ",0.00 ,0.00 ,0.00 ,0.00 ,126.40 ,"92,770,000.00 ","86,207.00 ",0.00 ,"1,838.20 ","2,198.50 ",336.30 ,,
1990-11,"12,622.40 ",0.00 ,0.00 ,0.00 ,0.00 ,139.40 ,"101,885,000.00 ","95,379.00 ",0.00 ,"2,024.70 ","2,410.40 ",362.20 ,,
1990-12,"13,810.20 ",0.00 ,0.00 ,0.00 ,0.00 ,152.06 ,"110,601,000.00 ","105,346.00 ",0.00 ,"2,166.00 ","2,594.70 ",384.50 ,,
1991-01,"1,172.80 ",0.00 ,0.00 ,0.00 ,0.00 ,13.09 ,"9,068,000.00 ","8,302.00 ",0.00 ,194.40 ,223.20 ,32.60 ,,
1991-02,"2,258.60 ",0.00 ,0.00 ,0.00 ,0.00 ,25.58 ,"18,089,000.00 ","14,721.00 ",0.00 ,364.60 ,424.50 ,61.10 ,,
1991-03,"3,439.00 ",0.00 ,0.00 ,0.00 ,0.00 ,38.58 ,"27,938,000.00 ","23,347.00 ",0.00 ,561.60 ,661.30 ,96.20 ,,
1991-04,"4,584.80 ",0.00 ,0.00 ,0.00 ,0.00 ,51.03 ,"36,504,000.00 ","32,405.00 ",0.00 ,732.00 ,861.80 ,126.40 ,,
1991-05,"5,772.10 ",0.00 ,0.00 ,0.00 ,0.00 ,64.26 ,"45,880,000.00 ","41,809.00 ",0.00 ,918.10 ,"1,088.70 ",158.80 ,,
1991-06,"6,922.60 ",0.00 ,0.00 ,0.00 ,0.00 ,77.26 ,"55,552,000.00 ","51,374.00 ",0.00 ,"1,116.20 ","1,334.90 ",196.00 ,,
1991-07,"8,097.70 ",0.00 ,0.00 ,0.00 ,0.00 ,90.11 ,"65,462,000.00 ","59,905.00 ",0.00 ,"1,327.90 ","1,588.80 ",231.80 ,,
1991-08,"9,276.20 ",0.00 ,0.00 ,0.00 ,0.00 ,103.15 ,"75,290,000.00 ","68,451.00 ",0.00 ,"1,528.40 ","1,836.70 ",267.60 ,,
1991-09,"10,432.10 ",0.00 ,0.00 ,0.00 ,0.00 ,115.74 ,"84,760,000.00 ","77,281.00 ",0.00 ,"1,720.90 ","2,070.00 ",301.50 ,,
