0,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Table Name,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,China: Average Utilization Hours of Power Generation Equipment: Hydropower: YTD,China: Average Utilization Hours of Power Generation Equipment: Thermal Power: YTD,China: Power Equipment Average Utilization of Solar Energy: YTD,China: Average Utilization Hours of Power Generation Equipment: Nuclear Power: YTD,China: Average Utilization Hours of Power Generation Equipment: Wind Power: YTD,China: Cumulative Average Utilization Hours of Power Generation Equipment: Thermal Power: Coal: YTD,China: Cumulative Average Utilization Hours of Power Generation Equipment: Thermal Power: Gas: YTD,China: Installed Power Generation Capacity: Hydropower: YTD,China: Installed Power Generation Capacity: Thermal Power: YTD,China: Installed Power Generation Capacity: Nuclear Power: YTD,China: Installed Power Generation Capacity: Wind Power: YTD,China: Installed Power Generation Capacity: Hydropower: Conventional Hydropower: YTD,China: Installed Power Generation Capacity: Thermal Power: Coal: YTD,China: Installed Power Generation Capacity: Thermal Power: Gas: YTD,China: Installed Capacity of Power Generation: Thermal Power: Biomass: YTD,China: Power Generation Installation Capacity: Solar Energy: YTD,China: Electricity Consumption: Whole Society: YTD,China: Electricity Generation: Wind Power,China: Power Generation: Solar Power,China: Output: Thermal Power: YTD,China: Output: Hydropower: YTD,China: Output: Nuclear Power: YTD,China: Electricity Generation: Wind Power: YTD,China: Output: Solar: YTD,China: Output: Wind Power: YTD,China: Coal Consumption Rate of Power Supply: YTD
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Year,Year,Month,Month,Month,Month,Month,Month,Month
Unit,hour,hour,hour,hour,hour,hour,hour,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,10000 kw,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,g/kwh
ID,S0048328,S0048329,L4792295,S5120200,S5120201,S5151693,S5151694,S5151658,S5151659,S5151660,S5151661,S5151687,S5151688,S5151689,J1571070,B5178457,S0048389,V5034867,H8829231,S0027018,S0027022,S0027026,S0161528,S0253041,S0253040,S0048319
Time Period,2000-12:2024-08,2000-12:2024-08,2018-02:2024-08,2008-12:2024-08,2008-12:2024-08,2018-12:2024-08,2018-12:2024-08,2012-12:2024-08,2012-12:2024-08,2012-12:2024-08,2012-12:2024-08,2020-06:2024-08,2017-12:2024-08,2017-12:2024-08,2021-07:2024-08,2021-02:2024-08,2003-05:2024-09,2009:2021,2010:2021,1989-02:2024-09,1989-02:2024-09,2001-01:2024-09,2008-12:2024-04,2016-05:2024-09,2009-09:2024-09,2003-05:2024-08
Source,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,According to the Press Finishing,According to the Press Finishing,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,Wind,National Bureau of Statistics of China,National Bureau of Statistics of China,Wind
Update,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-23,2024-09-23,2024-09-23,2024-09-23,2024-09-27,2024-09-27,2024-09-27,2024-09-27,2024-09-23,2024-10-19,2022-01-29,2022-01-29,2024-10-18,2024-10-18,2024-10-18,2024-05-30,2024-10-18,2024-10-18,2024-09-23
1989-02,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,734.30 ,132.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-03,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,129.80 ",203.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-04,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,505.60 ",298.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-05,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,884.30 ",416.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-06,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,255.40 ",543.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-07,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,618.60 ",668.70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-08,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,004.00 ",789.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-09,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,373.70 ",902.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"3,766.10 ","1,004.80 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 
