Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Name,China: Anhui: Output: Pig Iron: YTD,China: Chongqing: Output: Pig Iron: YTD,China: Fujian: Output: Pig Iron: YTD,China: Gansu: Output: Pig Iron: YTD,China: Guangdong: Output: Pig Iron: YTD,China: Guangxi: Output: Pig Iron: YTD,China: Guizhou: Output: Pig Iron: YTD,China: Hebei: Output: Pig Iron: YTD,China: Heilongjiang: Output: Pig Iron: YTD,China: Henan: Output: Pig Iron: YTD,China: Hubei: Output: Pig Iron: YTD,China: Hunan: Output: Pig Iron: YTD,China: Inner Mongolia: Output: Pig Iron: YTD,China: Jiangsu: Output: Pig Iron: YTD,China: Jiangxi: Output: Pig Iron: YTD,China: Jilin: Output: Pig Iron: YTD,China: Liaoning: Output: Pig Iron: YTD,China: Ningxia: Output: Pig Iron: YTD,China: Qinghai: Output: Pig Iron: YTD,China: Shaanxi: Output: Pig Iron: YTD,China: Shandong: Output: Pig Iron: YTD,China: Shanghai: Output: Pig Iron: YTD,China: Shanxi: Output: Pig Iron: YTD,China: Sichuan: Output: Pig Iron: YTD,China: Tianjin: Output: Pig Iron: YTD,China: Xinjiang: Output: Pig Iron: YTD,China: Yunnan: Output: Pig Iron: YTD,China: Zhejiang: Output: Pig Iron: YTD,China: Anhui: Output: Pig Iron: YTD,China: Chongqing: Output: Pig Iron: YTD,China: Fujian: Output: Pig Iron: YTD,China: Gansu: Output: Pig Iron: YTD,China: Guangdong: Output: Pig Iron: YTD,China: Guangxi: Output: Pig Iron: YTD,China: Guizhou: Output: Pig Iron: YTD,China: Hebei: Output: Pig Iron: YTD,China: Heilongjiang: Output: Pig Iron: YTD,China: Henan: Output: Pig Iron: YTD,China: Hubei: Output: Pig Iron: YTD,China: Hunan: Output: Pig Iron: YTD,China: Inner Mongolia: Output: Pig Iron: YTD,China: Jiangsu: Output: Pig Iron: YTD,China: Jiangxi: Output: Pig Iron: YTD,China: Jilin: Output: Pig Iron: YTD,China: Liaoning: Output: Pig Iron: YTD,China: Ningxia: Output: Pig Iron: YTD,China: Qinghai: Output: Pig Iron: YTD,China: Shaanxi: Output: Pig Iron: YTD,China: Shandong: Output: Pig Iron: YTD,China: Shanghai: Output: Pig Iron: YTD,China: Shanxi: Output: Pig Iron: YTD,China: Sichuan: Output: Pig Iron: YTD,China: Tianjin: Output: Pig Iron: YTD,China: Xinjiang: Output: Pig Iron: YTD,China: Yunnan: Output: Pig Iron: YTD,China: Zhejiang: Output: Pig Iron: YTD,China: Anhui: Output: Steel Products: YTD,China: Beijing: Output: Steel Products: YTD,China: Chongqing: Output: Steel Products: YTD,China: Fujian: Output: Steel Products: YTD,China: Gansu: Output: Steel Products: YTD,China: Guangdong: Output: Steel Products: YTD,China: Guangxi: Output: Steel Products: YTD,China: Guizhou: Output: Steel Products: YTD,China: Hainan: Output: Steel Products: YTD,China: Hebei: Output: Steel Products: YTD,China: Heilongjiang: Output: Steel Products: YTD,China: Henan: Output: Steel Products: YTD,China: Hubei: Output: Steel Products: YTD,China: Hunan: Output: Steel Products: YTD,China: Inner Mongolia: Output: Steel Products: YTD,China: Jiangsu: Output: Steel Products: YTD,China: Jiangxi: Output: Steel Products: YTD,China: Jilin: Output: Steel Products: YTD,China: Liaoning: Output: Steel Products: YTD,China: Ningxia: Output: Steel Products: YTD,China: Qinghai: Output: Steel Products: YTD,China: Shaanxi: Output: Steel Products: YTD,China: Shandong: Output: Steel Products: YTD,China: Shanghai: Output: Steel Products: YTD,China: Shanxi: Output: Steel Products: YTD,China: Sichuan: Output: Steel Products: YTD,China: Tianjin: Yield: Main Industrial Products: Steel Products: YTD,China: Xinjiang: Output: Steel Products: YTD,China: Yunnan: Output: Steel Products: YTD,China: Zhejiang: Output: Steel Products: YTD,China: Anhui: Output: Crude Steel: YTD,China: Beijing: Output: Crude Steel: YTD,China: Chongqing: Output: Crude Steel: YTD,China: Fujian: Output: Crude Steel: YTD,China: Gansu: Output: Crude Steel: YTD,China: Guangdong: Output: Crude Steel: YTD,China: Guangxi: Output: Crude Steel: YTD,China: Guizhou: Output: Crude Steel: YTD,China: Hainan: Output: Crude Steel: YTD,China: Hebei: Output: Crude Steel: YTD,China: Heilongjiang: Output: Crude Steel: YTD,China: Henan: Output: Crude Steel: YTD,China: Hubei: Output: Crude Steel: YTD,China: Hunan: Output: Crude Steel: YTD,China: Inner Mongolia: Output: Crude Steel: YTD,China: Jiangsu: Output: Crude Steel: YTD,China: Jiangxi: Output: Crude Steel: YTD,China: Jilin: Output: Crude Steel: YTD,China: Liaoning: Output: Crude Steel: YTD,China: Ningxia: Output: Crude Steel: YTD,China: Qinghai: Output: Crude Steel: YTD,China: Shaanxi: Output: Crude Steel: YTD,China: Shandong: Output: Crude Steel: YTD,China: Shanghai: Output: Crude Steel: YTD,China: Shanxi: Output: Crude Steel: YTD,China: Sichuan: Output: Crude Steel: YTD,China: Tianjin: Output: Crude Steel: YTD,China: Xinjiang: Output: Crude Steel: YTD,China: Yunnan: Output: Crude Steel: YTD,China: Zhejiang: Output: Crude Steel: YTD,"Taiwan, China: Production: Crude Steel: YTD"
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Unit,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,10000 tons,1000 tons
ID,S0065029,S0065039,S0065030,S0065044,S0065036,S0065037,S0065041,S0065020,S0065025,S0065033,S0065034,S0065035,S0065022,S0065027,S0065031,S0065024,S0065023,S0065046,S0065045,S0065043,S0065032,S0065026,S0065021,S0065040,S0065019,S0065047,S0065042,S0065028,S0065029,S0065039,S0065030,S0065044,S0065036,S0065037,S0065041,S0065020,S0065025,S0065033,S0065034,S0065035,S0065022,S0065027,S0065031,S0065024,S0065023,S0065046,S0065045,S0065043,S0065032,S0065026,S0065021,S0065040,S0065019,S0065047,S0065042,S0065028,S0065060,S0065049,S0065070,S0065061,S0065075,S0065067,S0065068,S0065072,S0065069,S0065051,S0065056,S0065064,S0065065,S0065066,S0065053,S0065058,S0065062,S0065055,S0065054,S0065077,S0065076,S0065074,S0065063,S0065057,S0065052,S0065071,M7082983,S0065078,S0065073,S0065059,S0064999,S0064988,S0065009,S0065000,S0065014,S0065006,S0065007,S0065011,S0065008,S0064990,S0064995,S0065003,S0065004,S0065005,S0064992,S0064997,S0065001,S0064994,S0064993,B4940484,S0065015,S0065013,S0065002,S0064996,S0064991,S0065010,S0064989,S0065016,S0065012,S0064998,S5710138
Source,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,Tianjin Municipal Bureau of Statistics,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,According to the Press Finishing
Update,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-06-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2025-01-21,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2022-08-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2022-08-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,2023-08-24
2006-06,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,626.32 ,517.88 ,179.03 ,468.28 ,256.01 ,794.47 ,337.02 ,121.72 ,6.32 ,"3,905.31 ",124.70 ,789.93 ,811.90 ,544.65 ,394.52 ,"2,849.12 ",602.19 ,272.56 ,"1,953.78 ",5.52 ,33.12 ,238.86 ,"1,908.68 ","1,080.77 ",765.81 ,628.15 ,0.00 ,183.68 ,258.81 ,532.81 ,609.28 ,409.86 ,152.26 ,232.43 ,255.20 ,432.21 ,282.31 ,162.23 ,0.11 ,"4,439.05 ",137.06 ,765.11 ,806.54 ,567.59 ,417.01 ,"1,930.78 ",561.02 ,247.58 ,"1,865.30 ",0.00 ,35.74 ,183.24 ,"1,736.11 ",978.78 ,878.07 ,583.51 ,580.74 ,181.85 ,293.76 ,222.23 ,0.00 
2006-07,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,733.39 ,603.19 ,211.70 ,482.42 ,299.61 ,936.81 ,396.18 ,143.04 ,7.33 ,"4,580.79 ",150.36 ,950.71 ,960.29 ,642.74 ,460.12 ,"3,318.42 ",703.16 ,327.80 ,"2,270.06 ",8.08 ,41.21 ,281.08 ,"2,250.49 ","1,258.58 ",895.70 ,732.97 ,0.00 ,219.35 ,317.10 ,627.19 ,720.44 ,478.71 ,181.54 ,271.40 ,295.41 ,501.25 ,340.77 ,191.96 ,0.13 ,"5,259.35 ",164.77 ,927.66 ,951.75 ,666.23 ,483.39 ,"2,313.42 ",661.01 ,296.27 ,"2,189.38 ",0.00 ,44.25 ,215.10 ,"2,058.07 ","1,146.78 ","1,035.57 ",683.71 ,700.06 ,217.13 ,346.51 ,261.63 ,0.00 
2006-08,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,849.65 ,688.45 ,242.75 ,553.18 ,346.79 ,"1,078.37 ",454.62 ,166.13 ,8.33 ,"5,288.29 ",178.42 ,"1,104.12 ","1,107.89 ",740.86 ,528.99 ,"3,795.56 ",806.83 ,380.77 ,"2,589.57 ",11.42 ,47.62 ,320.55 ,"2,597.50 ","1,449.86 ","1,016.45 ",834.20 ,0.00 ,255.09 ,368.36 ,722.36 ,840.56 ,540.60 ,209.00 ,310.72 ,341.69 ,580.37 ,391.53 ,221.53 ,0.15 ,"6,070.30 ",195.04 ,"1,085.46 ","1,095.18 ",763.30 ,553.51 ,"2,712.75 ",756.51 ,343.13 ,"2,506.54 ",0.00 ,50.60 ,246.89 ,"2,378.65 ","1,314.49 ","1,178.63 ",785.54 ,819.77 ,253.21 ,401.42 ,302.56 ,0.00 
2006-09,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,963.06 ,777.34 ,276.13 ,620.42 ,394.13 ,"1,248.08 ",513.99 ,189.13 ,9.57 ,"6,043.94 ",207.42 ,"1,257.90 ","1,264.24 ",839.19 ,594.83 ,"4,267.55 ",911.34 ,431.54 ,"2,901.34 ",14.38 ,54.01 ,368.21 ,"2,945.54 ","1,624.12 ","1,159.15 ",948.41 ,0.00 ,289.16 ,416.52 ,825.65 ,954.66 ,609.68 ,237.01 ,348.90 ,397.17 ,659.61 ,450.73 ,251.40 ,0.16 ,"6,882.72 ",226.86 ,"1,227.67 ","1,236.29 ",863.34 ,622.72 ,"3,062.46 ",855.79 ,387.93 ,"2,813.44 ",0.00 ,57.22 ,281.59 ,"2,714.30 ","1,448.86 ","1,339.64 ",896.81 ,931.52 ,286.25 ,456.40 ,342.65 ,0.00 
