Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Output: Thermal Power Generating Capacity: Beijing: YTD,Output: Thermal Power Generating Capacity: Tianjin: YTD,Output: Thermal Power Generating Capacity: Hebei: YTD,Output: Thermal Power Generating Capacity: Shanxi: YTD,Output: Thermal Power Generating Capacity: Inner Mongolia: YTD,Output: Thermal Power Generating Capacity: Liaoning: YTD,Output: Thermal Power Generating Capacity: Jilin: YTD,Output: Thermal Power Generating Capacity: Heilongjiang: YTD,Output: Thermal Power Generating Capacity: Shanghai: YTD,Output: Thermal Power Generating Capacity: Jiangsu: YTD,Output: Thermal Power Generating Capacity: Zhejiang: YTD,Output: Thermal Power Generating Capacity: Anhui: YTD,Output: Thermal Power Generating Capacity: Fujian: YTD,Output: Thermal Power Generating Capacity: Jiangxi: YTD,Output: Thermal Power Generating Capacity: Shandong: YTD,Output: Thermal Power Generating Capacity: Henan: YTD,Output: Thermal Power Generating Capacity: Hubei: YTD,Output: Thermal Power Generating Capacity: Hunan: YTD,Output: Thermal Power Generating Capacity: Guangdong: YTD,Output: Thermal Power Generating Capacity: Guangxi: YTD,Output: Thermal Power Generating Capacity: Hainan: YTD,Output: Thermal Power Generating Capacity: Chongqing: YTD,Output: Thermal Power Generating Capacity: Sichuan: YTD,Output: Thermal Power Generating Capacity: Guizhou: YTD,Output: Thermal Power Generating Capacity: Yunnan: YTD,Output: Thermal Power Generating Capacity: Tibet: YTD,Output: Thermal Power Generating Capacity: Shaanxi: YTD,Output: Thermal Power Generating Capacity: Gansu: YTD,Output: Thermal Power Generating Capacity: Qinghai: YTD,Output: Thermal Power Generating Capacity: Ningxia: YTD,Output: Thermal Power Generating Capacity: Xinjiang: YTD,Output: Hydro Power Generating Capacity: Beijing: YTD,Output: Hydro Power Generating Capacity: Tianjin: YTD,Output: Hydro Power Generating Capacity: Hebei: YTD,Output: Hydro Power Generating Capacity: Shanxi: YTD,Output: Hydro Power Generating Capacity: Inner Mongolia: YTD,Output: Hydro Power Generating Capacity: Liaoning: YTD,Output: Hydro Power Generating Capacity: Jilin: YTD,Output: Hydro Power Generating Capacity: Heilongjiang: YTD,Output: Hydro Power Generating Capacity: Jiangsu: YTD,Output: Hydro Power Generating Capacity: Zhejiang: YTD,Output: Hydro Power Generating Capacity: Anhui: YTD,Output: Hydro Power Generating Capacity: Fujian: YTD,Output: Hydro Power Generating Capacity: Jiangxi: YTD,Output: Hydro Power Generating Capacity: Shandong: YTD,Output: Hydro Power Generating Capacity: Henan: YTD,Output: Hydro Power Generating Capacity: Hubei: YTD,Output: Hydro Power Generating Capacity: Hunan: YTD,Output: Hydro Power Generating Capacity: Guangdong: YTD,Output: Hydro Power Generating Capacity: Guangxi: YTD,Output: Hydro Power Generating Capacity: Hainan: YTD,Output: Hydro Power Generating Capacity: Chongqing: YTD,Output: Hydro Power Generating Capacity: Sichuan: YTD,Output: Hydro Power Generating Capacity: Guizhou: YTD,Output: Hydro Power Generating Capacity: Yunnan: YTD,Output: Hydro Power Generating Capacity: Tibet: YTD,Output: Hydro Power Generating Capacity: Shaanxi: YTD,Output: Hydro Power Generating Capacity: Gansu: YTD,Output: Hydro Power Generating Capacity: Qinghai: YTD,Output: Hydro Power Generating Capacity: Ningxia: YTD,Output: Hydro Power Generating Capacity: Xinjiang: YTD,Power Generation: Wind Power: Beijing: YTD,Power Generation: Wind Power: Tianjin: YTD,Power Generation: Wind Power: Hebei: YTD,Power Generation: Wind Power: Shanxi: YTD,Power Generation: Wind Power: Inner Mongolia: YTD,Power Generation: Wind Power: Liaoning: YTD,Power Generation: Wind Power: Jilin: YTD,Power Generation: Wind Power: Heilongjiang: YTD,Power Generation: Wind Power: Shanghai: YTD,Power Generation: Wind Power: Jiangsu: YTD,Power Generation: Wind Power: Zhejiang: YTD,Power Generation: Wind Power: Anhui: YTD,Power Generation: Wind Power: Fujian: YTD,Power Generation: Wind Power: Jiangxi: YTD,Power Generation: Wind Power: Shandong: YTD,Power Generation: Wind Power: Henan: YTD,Power Generation: Wind Power: Hubei: YTD,Power Generation: Wind Power: Hunan: YTD,Power Generation: Wind Power: Guangdong: YTD,Power Generation: Wind Power: Guangxi: YTD,Power Generation: Wind Power: Hainan: YTD,Power Generation: Wind Power: Chongqing: YTD,Power Generation: Wind Power: Sichuan: YTD,Power Generation: Wind Power: Guizhou: YTD,Power Generation: Wind Power: Yunnan: YTD,Power Generation: Wind Power: Shaanxi: YTD,Power Generation: Wind Power: Gansu: YTD,Power Generation: Wind Power: Qinghai: YTD,Power Generation: Wind Power: Ningxia: YTD,Power Generation: Wind Power: Xinjiang: YTD,Output: Nuclear Power: Liaoning: YTD,Output: Nuclear Power: Jiangsu: YTD,Output: Nuclear Power: Zhejiang: YTD,Output: Nuclear Power: Fujian: YTD,Output: Nuclear Power: Guangdong: YTD,Output: Nuclear Power: Guangxi: YTD,Output: Nuclear Power: Hainan: YTD,Output: Solar: Beijing: YTD,Output: Solar: Hebei: YTD,Output: Solar: Shanxi: YTD,Output: Solar: Inner Mongolia: YTD,Output: Solar: Liaoning: YTD,Output: Solar: Jilin: YTD,Output: Solar: Shanghai: YTD,Output: Solar: Jiangsu: YTD,Output: Solar: Zhejiang: YTD,Output: Solar: Anhui: YTD,Output: Solar: Fujian: YTD,Output: Solar: Jiangxi: YTD,Output: Solar: Shandong: YTD,Output: Solar: Henan: YTD,Output: Solar: Hubei: YTD,Output: Solar: Hunan: YTD,Output: Solar: Guangdong: YTD,Output: Solar: Guangxi: YTD,Output: Solar: Sichuan: YTD,Output: Solar: Guizhou: YTD,Output: Solar: Yunnan: YTD,Output: Solar: Tibet: YTD,Output: Solar: Shaanxi: YTD,Output: Solar: Gansu: YTD,Output: Solar: Qinghai: YTD,Output: Solar: Ningxia: YTD,Output: Solar: Xinjiang: YTD,Power Consumption: Beijing: YTD,Power Consumption: Tianjin: YTD,Power Consumption: Hebei: YTD,Power Consumption: Shanxi: YTD,Power Consumption: Inner Mongolia: YTD,Power Consumption: Liaoning: YTD,Power Consumption: Jilin: YTD,Power Consumption: Heilongjiang: YTD,Power Consumption: Shanghai: YTD,Power Consumption: Jiangsu: YTD,Power Consumption: Zhejiang: YTD,Power Consumption: Anhui: YTD,Power Consumption: Fujian: YTD,Power Consumption: Jiangxi: YTD,Power Consumption: Shandong: YTD,Power Consumption: Henan: YTD,Power Consumption: Hubei: YTD,Power Consumption: Hunan: YTD,Power Consumption: Guangdong: YTD,Power Consumption: Guangxi: YTD,Power Consumption: Hainan: YTD,Power Consumption: Chongqing: YTD,Power Consumption: Sichuan: YTD,Power Consumption: Guizhou: YTD,Power Consumption: Yunnan: YTD,Power Consumption: Tibet: YTD,Power Consumption: Shaanxi: YTD,Power Consumption: Gansu: YTD,Power Consumption: Qinghai: YTD,Power Consumption: Ningxia: YTD,Power Consumption: Xinjiang: YTD
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,S0075788,S0075789,S0075790,S0075791,S0075792,S0075793,S0075794,S0075795,S0075796,S0075797,S0075798,S0075799,S0075800,S0075801,S0075802,S0075803,S0075804,S0075805,S0075806,S0075807,S0075808,S0075809,S0075810,S0075811,S0075812,S0075813,S0075814,S0075815,S0075816,S0075817,S0075818,S0075910,S0075911,S0075912,S0075913,S0075914,S0075915,S0075916,S0075917,S0075918,S0075919,S0075920,S0075921,S0075922,S0075923,S0075924,S0075925,S0075926,S0075927,S0075928,S0075929,S0075930,S0075931,S0075932,S0075933,S0075934,S0075935,S0075936,S0075937,S0075938,S0075939,S5109228,S5109229,S5109230,S5109231,S5109232,S5109233,S5109234,S5109235,S5109236,S5109237,S5109238,S5109239,S5109240,S5109241,S5109242,S5109243,S5109244,S5109245,S5109246,S5109247,S5109248,S5109249,S5109250,S5109251,S5109252,S5109254,S5109255,S5109256,S5109257,S5109258,S0248469,S0081111,S0081112,S0248470,S0081113,S0248471,S0248472,S0253199,S0253201,S0253202,S0253203,S0253204,S0253205,S0253207,S0253208,S0253209,S0253210,S0253211,S0253212,S0253213,S0253214,S0253215,S0253216,S0253217,S0253218,S0253221,S0253222,S0253223,S0253224,S0253225,S0253226,S0253227,S0253228,S0253229,S5120204,S5120205,S5120206,S5120207,S5120208,S5120209,S5120210,S5120211,S5120212,S5120213,S5120214,S5120215,S5120216,S5120217,S5120218,S5120219,S5120220,S5120221,S5120222,S5120223,S5120224,S5120225,S5120226,S5120227,S5120228,S5120229,S5120230,S5120231,S5120232,S5120233,S5120234
Time Period,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2008-04:2024-04,2011-04:2024-04,2008-04:2024-04,2011-02:2024-04,2008-04:2024-04,2011-04:2024-04,2008-04:2024-04,2008-04:2024-04,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,1997-01:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2016-05:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12,2007-12:2024-12
Source,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind,Wind
Update,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2024-05-30,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-20,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26,2025-01-26
1997-01,"133,800.00 ","141,300.00 ","539,400.00 ","464,000.00 ","296,300.00 ","496,300.00 ","241,400.00 ","388,100.00 ","383,400.00 ","581,000.00 ","323,500.00 ","264,800.00 ","118,900.00 ","136,400.00 ","674,200.00 ","520,000.00 ","185,400.00 ","192,800.00 ","456,600.00 ","108,700.00 ","14,800.00 ","110,600.00 ","202,600.00 ","131,500.00 ","84,700.00 ",0.00 ,"200,600.00 ","102,000.00 ","27,400.00 ","90,200.00 ","97,500.00 ","6,900.00 ",0.00 ,"7,400.00 ","462,000.00 ",600.00 ,"30,100.00 ","48,700.00 ","1,700.00 ",600.00 ,"24,000.00 ","3,400.00 ","78,700.00 ","21,000.00 ",0.00 ,"8,000.00 ","144,800.00 ","77,100.00 ","71,700.00 ","66,800.00 ","10,300.00 ","14,400.00 ","146,200.00 ","103,300.00 ","120,200.00 ",0.00 ,"21,000.00 ","35,100.00 ","28,400.00 ","4,200.00 ","16,800.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"21,000.00 ",0.00 ,"66,800.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1997-02,"258,200.00 ","242,900.00 ","990,200.00 ","856,300.00 ","567,500.00 ","943,400.00 ","415,300.00 ","737,000.00 ","718,400.00 ","1,060,900.00 ","566,700.00 ","481,200.00 ","232,300.00 ","232,400.00 ","1,256,400.00 ","954,900.00 ","380,300.00 ","301,400.00 ","980,400.00 ","194,000.00 ","27,000.00 ","214,900.00 ","399,500.00 ","287,500.00 ","173,700.00 ",0.00 ,"398,600.00 ","233,600.00 ","54,700.00 ","167,500.00 ","186,700.00 ","12,700.00 ",0.00 ,"7,700.00 ","11,200.00 ","1,300.00 ","46,200.00 ","90,700.00 ","5,100.00 ",500.00 ,"50,900.00 ","5,600.00 ","185,400.00 ","54,800.00 ",0.00 ,"20,800.00 ","264,100.00 ","194,500.00 ","138,900.00 ","123,700.00 ","20,600.00 ","26,100.00 ","253,400.00 ","129,800.00 ","211,100.00 ",0.00 ,"32,100.00 ","71,100.00 ","35,700.00 ","7,600.00 ","33,000.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"35,200.00 ",0.00 ,"129,400.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1997-03,"360,800.00 ","393,600.00 ","1,556,500.00 ","1,298,400.00 ","843,400.00 ","1,469,400.00 ","649,500.00 ","1,105,400.00 ","1,101,500.00 ","1,573,400.00 ","946,000.00 ","734,000.00 ","359,400.00 ","335,200.00 ","2,099,200.00 ","1,435,900.00 ","570,000.00 ","443,900.00 ","1,521,500.00 ","289,800.00 ","40,300.00 ","334,500.00 ","826,200.00 ","435,900.00 ","272,500.00 ",0.00 ,"597,800.00 ","344,900.00 ","83,900.00 ","260,300.00 ","279,700.00 ","18,800.00 ",0.00 ,"21,000.00 ","16,100.00 ","2,300.00 ","71,400.00 ","112,900.00 ","7,800.00 ",800.00 ,"82,300.00 ","10,300.00 ","295,100.00 ","91,000.00 ",0.00 ,"42,400.00 ","443,800.00 ","374,000.00 ","228,900.00 ","213,400.00 ","31,700.00 ","52,100.00 ","393,600.00 ","155,200.00 ","320,200.00 ",0.00 ,"53,100.00 ","96,900.00 ","56,800.00 ","11,100.00 ","46,200.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"42,500.00 ",0.00 ,"222,100.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
1997-04,"454,900.00 ","525,300.00 ","2,109,500.00 ","1,724,500.00 ","1,111,000.00 ","1,926,200.00 ","855,500.00 ","1,504,200.00 ","1,460,600.00 ","2,319,500.00 ","1,289,700.00 ","971,600.00 ","438,500.00 ","425,600.00 ","2,710,400.00 ","1,917,700.00 ","759,600.00 ","565,400.00 ","2,058,100.00 ","334,400.00 ","53,100.00 ","416,300.00 ","926,100.00 ","528,900.00 ","366,700.00 ",0.00 ,"782,300.00 ","447,900.00 ","107,500.00 ","348,000.00 ","373,100.00 ","26,100.00 ",0.00 ,"33,600.00 ","20,800.00 ","3,300.00 ","98,000.00 ","143,300.00 ","11,000.00 ","1,000.00 ","132,500.00 ","17,100.00 ","450,600.00 ","135,400.00 ",0.00 ,"63,200.00 ","652,300.00 ","551,900.00 ","315,200.00 ","328,400.00 ","46,100.00 ","78,100.00 ","451,100.00 ","281,400.00 ","418,700.00 ",0.00 ,"84,400.00 ","136,100.00 ","71,300.00 ","15,400.00 ","62,200.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"42,500.00 ",0.00 ,"292,800.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
