Wind,,,,,,,,
Country,China,China,China,China,China,China,China,China
Name,China: Coal Consumption Rate of Power Supply: YTD,China: Output: Electricity Production: YTD,China: Output: Thermal Power: YTD,China: Output: Hydropower: YTD,China: Output: Nuclear Power: YTD,China: Output: Solar: YTD,China: Output: Wind Power: YTD,China: Coal Consumption Rate of Power Supply: YoY: % Change
Frequency,Month,Month,Month,Month,Month,Month,Month,Month
Unit,g/kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,100 million kwh,g/kwh
ID,S0048319,S0027014,S0027018,S0027022,S0027026,S0253041,S0253040,S0048337
Source,Wind,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,National Bureau of Statistics of China,Wind
Update,2024-11-22,2024-11-19,2024-11-19,2024-11-19,2024-11-19,2024-11-19,2024-11-19,2024-11-29
1989-02,0.00 ,867.30 ,734.30 ,132.50 ,0.00 ,0.00 ,0.00 ,0.00 
1989-03,0.00 ,"1,332.90 ","1,129.80 ",203.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-04,0.00 ,"1,804.40 ","1,505.60 ",298.60 ,0.00 ,0.00 ,0.00 ,0.00 
1989-05,0.00 ,"2,300.80 ","1,884.30 ",416.30 ,0.00 ,0.00 ,0.00 ,0.00 
1989-06,0.00 ,"2,798.80 ","2,255.40 ",543.30 ,0.00 ,0.00 ,0.00 ,0.00 
1989-07,0.00 ,"3,287.60 ","2,618.60 ",668.70 ,0.00 ,0.00 ,0.00 ,0.00 
1989-08,0.00 ,"3,793.50 ","3,004.00 ",789.00 ,0.00 ,0.00 ,0.00 ,0.00 
1989-09,0.00 ,"4,277.00 ","3,373.70 ",902.90 ,0.00 ,0.00 ,0.00 ,0.00 
1989-10,0.00 ,"4,771.30 ","3,766.10 ","1,004.80 ",0.00 ,0.00 ,0.00 ,0.00 
1989-11,0.00 ,"5,271.00 ","4,176.40 ","1,093.50 ",0.00 ,0.00 ,0.00 ,0.00 
1989-12,0.00 ,"5,795.70 ","4,623.40 ","1,171.80 ",0.00 ,0.00 ,0.00 ,0.00 
1990-01,0.00 ,479.00 ,413.60 ,65.00 ,0.00 ,0.00 ,0.00 ,0.00 
1990-02,0.00 ,937.20 ,799.10 ,138.10 ,0.00 ,0.00 ,0.00 ,0.00 
1990-03,0.00 ,"1,438.40 ","1,212.30 ",226.10 ,0.00 ,0.00 ,0.00 ,0.00 
1990-04,0.00 ,"1,928.90 ","1,602.80 ",326.00 ,0.00 ,0.00 ,0.00 ,0.00 
1990-05,0.00 ,"2,457.70 ","2,006.80 ",450.80 ,0.00 ,0.00 ,0.00 ,0.00 
1990-06,0.00 ,"2,975.20 ","2,386.90 ",588.30 ,0.00 ,0.00 ,0.00 ,0.00 
1990-07,0.00 ,"3,498.20 ","2,780.70 ",717.10 ,0.00 ,0.00 ,0.00 ,0.00 
1990-08,0.00 ,"4,030.80 ","3,185.30 ",845.50 ,0.00 ,0.00 ,0.00 ,0.00 
1990-09,0.00 ,"4,536.60 ","3,577.70 ",958.90 ,0.00 ,0.00 ,0.00 ,0.00 
1990-10,0.00 ,"5,058.70 ","3,998.40 ","1,060.20 ",0.00 ,0.00 ,0.00 ,0.00 
1990-11,0.00 ,"5,585.70 ","4,428.70 ","1,156.40 ",0.00 ,0.00 ,0.00 ,0.00 
1990-12,0.00 ,"6,146.30 ","4,900.40 ","1,245.30 ",0.00 ,0.00 ,0.00 ,0.00 
1991-01,0.00 ,551.60 ,471.10 ,80.40 ,0.00 ,0.00 ,0.00 ,0.00 
1991-02,0.00 ,"1,025.50 ",878.30 ,147.10 ,0.00 ,0.00 ,0.00 ,0.00 
1991-03,0.00 ,"1,574.80 ","1,344.00 ",230.70 ,0.00 ,0.00 ,0.00 ,0.00 
1991-04,0.00 ,"2,111.90 ","1,785.00 ",326.70 ,0.00 ,0.00 ,0.00 ,0.00 
1991-05,0.00 ,"2,679.30 ","2,228.00 ",451.00 ,0.00 ,0.00 ,0.00 ,0.00 
1991-06,0.00 ,"3,225.90 ","2,647.50 ",577.90 ,0.00 ,0.00 ,0.00 ,0.00 
1991-07,0.00 ,"3,804.40 ","3,087.50 ",716.30 ,0.00 ,0.00 ,0.00 ,0.00 
1991-08,0.00 ,"4,388.60 ","3,539.00 ",849.00 ,0.00 ,0.00 ,0.00 ,0.00 
1991-09,0.00 ,"4,950.30 ","3,985.60 ",964.10 ,0.00 ,0.00 ,0.00 ,0.00 
1991-10,0.00 ,"5,523.60 ","4,453.70 ","1,069.20 ",0.00 ,0.00 ,0.00 ,0.00 
1991-11,0.00 ,"6,102.40 ","4,947.30 ","1,154.20 ",0.00 ,0.00 ,0.00 ,0.00 
1991-12,0.00 ,"6,710.98 ","5,471.40 ","1,241.50 ",0.00 ,0.00 ,0.00 ,0.00 
1992-01,0.00 ,576.70 ,494.80 ,81.50 ,0.00 ,0.00 ,0.00 ,0.00 
1992-02,0.00 ,"1,129.90 ",977.00 ,151.80 ,0.00 ,0.00 ,0.00 ,0.00 
1992-03,0.00 ,"1,745.00 ","1,490.30 ",251.70 ,0.00 ,0.00 ,0.00 ,0.00 
1992-04,0.00 ,"2,337.40 ","1,991.10 ",343.50 ,0.00 ,0.00 ,0.00 ,0.00 
1992-05,0.00 ,"2,953.80 ","2,472.20 ",477.40 ,0.00 ,0.00 ,0.00 ,0.00 
1992-06,0.00 ,"3,588.10 ","2,957.40 ",624.60 ,0.00 ,0.00 ,0.00 ,0.00 
1992-07,0.00 ,"4,238.00 ","3,463.30 ",766.20 ,0.00 ,0.00 ,0.00 ,0.00 
1992-08,0.00 ,"4,878.90 ","3,954.10 ",891.90 ,0.00 ,0.00 ,0.00 ,0.00 
1992-09,0.00 ,"5,491.50 ","4,473.60 ","1,009.60 ",0.00 ,0.00 ,0.00 ,0.00 
1992-10,0.00 ,"6,120.60 ","4,995.60 ","1,116.20 ",0.00 ,0.00 ,0.00 ,0.00 
1992-11,0.00 ,"6,765.30 ","5,543.40 ","1,212.80 ",0.00 ,0.00 ,0.00 ,0.00 
1992-12,0.00 ,"7,446.90 ","6,137.30 ","1,300.20 ",0.00 ,0.00 ,0.00 ,0.00 
1993-01,0.00 ,618.90 ,548.80 ,69.50 ,0.00 ,0.00 ,0.00 ,0.00 
1993-02,0.00 ,"1,234.40 ","1,087.20 ",145.90 ,0.00 ,0.00 ,0.00 ,0.00 
1993-03,0.00 ,"1,914.30 ","1,676.80 ",235.40 ,0.00 ,0.00 ,0.00 ,0.00 
1993-04,0.00 ,"2,568.20 ","2,231.20 ",333.30 ,0.00 ,0.00 ,0.00 ,0.00 
1993-05,0.00 ,"3,248.00 ","2,777.00 ",464.90 ,0.00 ,0.00 ,0.00 ,0.00 
1993-06,0.00 ,"3,929.20 ","3,301.40 ",619.00 ,0.00 ,0.00 ,0.00 ,0.00 
1993-07,0.00 ,"4,636.40 ","3,851.80 ",773.50 ,0.00 ,0.00 ,0.00 ,0.00 
1993-08,0.00 ,"5,337.40 ","4,389.20 ",934.80 ,0.00 ,0.00 ,0.00 ,0.00 
1993-09,0.00 ,"6,009.00 ","4,914.10 ","1,079.60 ",0.00 ,0.00 ,0.00 ,0.00 
