Wind,,,,,,,,,,,,,,
Name,China: Blast Furnace Starting Rate (247),China: Blast Furnace Refining Production Capacity Utilization (247),China: Tangshan: Operating Rate of Blast Furnaces,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate: Electric Furnace,China: Capacity Utilization: Electric Stove,China: Estimated Daily Average Output: Steel Products,China: Estimated Daily Average Output: Pig Iron,China: Estimated Daily Average Output: Crude Steel,China: Daily Average Output: Crude Steel,China: Estimated Daily Average Output: Coke,China: Operating Rate: Wire Rod: Major Steel Mills,China: Operating Rate: Deformed Steel Bar: Major Steel Mills,China: Operating Rate of Blast Furnaces (163 Steel Mills)
Frequency,Week,Week,Week,Week,Week,Week,Every Day,Every Day,Every Day,Week,Every Day,Week,Week,Week
Unit,%,%,%,%,%,%,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,10000 tons/day,%,%,%
ID,C1925068,O2244511,S5711217,S5713303,S5715650,S5715660,S5715686,S5715685,S5708247,S5704502,S5715687,S5713327,S5713303,S5708175
Time Period,2018-03-02:2024-12-20,2018-03-02:2024-12-20,2013-12-20:2024-12-20,2015-02-27:2024-12-20,2017-12-08:2024-12-20,2017-12-08:2024-12-20,2014-06-10:2024-12-10,2014-06-10:2024-12-10,2009-01-10:2024-12-10,2009-01-10:2024-12-10,2014-06-10:2021-03-10,2015-02-27:2024-12-20,2015-02-27:2024-12-20,2012-08-03:2021-12-24
Source,Wind,Wind,China United Steel Network,Wind,China United Steel Network,China United Steel Network,Steelhome,Steelhome,Steelhome,Steelhome,Steelhome,Wind,Wind,Wind
Update,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-20,2024-12-14,2024-12-14,2024-12-14,2024-12-14,2021-03-15,2024-12-20,2024-12-20,2023-09-20
2009-01-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,132.30 ,132.30 ,0.00 ,0.00 ,0.00 ,0.00 
2009-01-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,132.46 ,132.46 ,0.00 ,0.00 ,0.00 ,0.00 
2009-01-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,153.95 ,139.96 ,0.00 ,0.00 ,0.00 ,0.00 
2009-02-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,141.67 ,141.67 ,0.00 ,0.00 ,0.00 ,0.00 
2009-02-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,142.75 ,142.75 ,0.00 ,0.00 ,0.00 ,0.00 
2009-02-28,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,120.82 ,151.03 ,0.00 ,0.00 ,0.00 ,0.00 
2009-03-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,137.80 ,137.80 ,0.00 ,0.00 ,0.00 ,0.00 
2009-03-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,139.34 ,139.34 ,0.00 ,0.00 ,0.00 ,0.00 
2009-03-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,151.94 ,138.12 ,0.00 ,0.00 ,0.00 ,0.00 
2009-04-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,141.38 ,141.38 ,0.00 ,0.00 ,0.00 ,0.00 
2009-04-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,140.91 ,140.91 ,0.00 ,0.00 ,0.00 ,0.00 
2009-04-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,141.06 ,141.06 ,0.00 ,0.00 ,0.00 ,0.00 
2009-05-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,147.37 ,147.37 ,0.00 ,0.00 ,0.00 ,0.00 
2009-05-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,147.81 ,147.81 ,0.00 ,0.00 ,0.00 ,0.00 
2009-05-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,148.94 ,148.94 ,0.00 ,0.00 ,0.00 ,0.00 
2009-06-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,149.81 ,149.81 ,0.00 ,0.00 ,0.00 ,0.00 
2009-06-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,152.21 ,152.21 ,0.00 ,0.00 ,0.00 ,0.00 
2009-06-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,151.87 ,151.87 ,0.00 ,0.00 ,0.00 ,0.00 
2009-07-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,152.40 ,152.40 ,0.00 ,0.00 ,0.00 ,0.00 
2009-07-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,162.99 ,162.99 ,0.00 ,0.00 ,0.00 ,0.00 
2009-07-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,167.21 ,167.21 ,0.00 ,0.00 ,0.00 ,0.00 
2009-08-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,167.44 ,167.44 ,0.00 ,0.00 ,0.00 ,0.00 
2009-08-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,163.58 ,163.58 ,0.00 ,0.00 ,0.00 ,0.00 
2009-08-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.31 ,169.31 ,0.00 ,0.00 ,0.00 ,0.00 
2009-09-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,166.59 ,166.59 ,0.00 ,0.00 ,0.00 ,0.00 
2009-09-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,165.49 ,165.49 ,0.00 ,0.00 ,0.00 ,0.00 
2009-09-30,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,164.59 ,164.59 ,0.00 ,0.00 ,0.00 ,0.00 
2009-10-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,169.20 ,169.20 ,0.00 ,0.00 ,0.00 ,0.00 
2009-10-20,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,164.56 ,164.56 ,0.00 ,0.00 ,0.00 ,0.00 
2009-10-31,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,164.98 ,164.98 ,0.00 ,0.00 ,0.00 ,0.00 
2009-11-10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,162.22 ,162.22 ,0.00 ,0.00 ,0.00 ,0.00 
