city_name_EN,NAME_1_EN,city_name_ZH,NAME_1_ZH,keyregion,change_in_2023,GADM_NAME_2_EN
Beijing,Beijing,北京,北京,2+26,none,Beijing
Tianjin,Tianjin,天津,天津,2+26,none,Tianjin
Jinan,Shandong,济南,山东,2+26,none,Jinan
Dezhou,Shandong,德州,山东,2+26,none,Dezhou
Liaocheng,Shandong,聊城,山东,2+26,none,Liaocheng
Binzhou,Shandong,滨州,山东,2+26,none,Binzhou
Zibo,Shandong,淄博,山东,2+26,none,Zibo
Jining,Shandong,济宁,山东,2+26,none,Jining
Heze,Shandong,菏泽,山东,2+26,none,Heze
Zaozhuang,Shandong,枣庄,山东,2+26,added,Zaozhuang
Dongying,Shandong,东营,山东,2+26,added,Dongying
Weifang,Shandong,潍坊,山东,2+26,added,Weifang
Tai'an,Shandong,泰安,山东,2+26,added,Tai'an
Rizhao,Shandong,日照,山东,2+26,added,Rizhao
Linyi,Shandong,临沂,山东,2+26,added,Linyi
Shijiazhuang,Hebei,石家庄,河北,2+26,none,Shijiazhuang
Tangshan,Hebei,唐山,河北,2+26,none,Tangshan
Handan,Hebei,邯郸,河北,2+26,none,Handan
Baoding,Hebei,保定,河北,2+26,none,Baoding
Langfang,Hebei,廊坊,河北,2+26,none,Langfang
Cangzhou,Hebei,沧州,河北,2+26,none,Cangzhou
Hengshui,Hebei,衡水,河北,2+26,none,Hengshui
Xingtai,Hebei,邢台,河北,2+26,none,Xingtai
Qinhuangdao,Hebei,秦皇岛,河北,2+26,added,Qinhuangdao
Xinji,Hebei,辛集,河北,2+26,not a city,Xinji
Dingzhou,Hebei,定州,河北,2+26,not a city,Dingzhou
Zhengzhou,Henan,郑州,河南,2+26,none,Zhengzhou
Anyang,Henan,安阳,河南,2+26,none,Anyang
Kaifeng,Henan,开封,河南,2+26,none,Kaifeng
Jiaozuo,Henan,焦作,河南,2+26,none,Jiaozuo
Hebi,Henan,鹤壁,河南,2+26,none,Hebi
Xinxiang,Henan,新乡,河南,2+26,none,Xinxiang
Puyang,Henan,濮阳,河南,2+26,none,Puyang
Luoyang,Henan,洛阳,河南,2+26,added,Luoyang
Pingdingshan,Henan,平顶山,河南,2+26,added,Pingdingshan
Xuchang,Henan,许昌,河南,2+26,added,Xuchang
Luohe,Henan,漯河,河南,2+26,added,Luohe
Sanmenxia,Henan,三门峡,河南,2+26,added,Sanmenxia
Shangqiu,Henan,商丘,河南,2+26,added,Shangqiu
Zhoukou,Henan,周口,河南,2+26,added,Zhoukou
Jiyuan,Henan,济源,河南,2+26,added,Jiyuan shi
Taiyuan,Shanxi,太原,山西,2+26,removed,Taiyuan
Changzhi,Shanxi,长治,山西,2+26,removed,Changzhi
Yangquan,Shanxi,阳泉,山西,2+26,removed,Yangquan
Jincheng,Shanxi,晋城,山西,2+26,removed,Jincheng
Linfen,Shanxi,临汾,山西,Fenwei,none,Linfen
Jinzhong,Shanxi,晋中,山西,Fenwei,none,Jinzhong
Yuncheng,Shanxi,运城,山西,Fenwei,none,Yuncheng
Luliang,Shanxi,吕梁,山西,Fenwei,none,Luliang
Taiyuan,Shanxi,太原,山西,Fenwei,added,Taiyuan
Yangquan,Shanxi,阳泉,山西,Fenwei,added,Yangquan
Changzhi,Shanxi,长治,山西,Fenwei,added,Changzhi
Jincheng,Shanxi,晋城,山西,Fenwei,added,Jincheng
Xi'an,Shaanxi,西安,陕西,Fenwei,none,Xi'an
Xianyang,Shaanxi,咸阳,陕西,Fenwei,none,Xianyang
Tongchuan,Shaanxi,铜川,陕西,Fenwei,none,Tongchuan
Baoji,Shaanxi,宝鸡,陕西,Fenwei,none,Baoji
Weinan,Shaanxi,渭南,陕西,Fenwei,none,Weinan
Hancheng,Shaanxi,韩城,陕西,Fenwei,not a city,Hancheng
Luoyang,Henan,洛阳,河南,Fenwei,removed,Luoyang
Sanmenxia,Henan,三门峡,河南,Fenwei,removed,Sanmenxia
Shanghai,Shanghai,上海,上海,YRD,none,Shanghai
Hefei,Anhui,合肥,安徽,YRD,none,Hefei
Wuhu,Anhui,芜湖,安徽,YRD,none,Wuhu
Ma'anshan,Anhui,马鞍山,安徽,YRD,none,Ma'anshan
Chuzhou,Anhui,滁州,安徽,YRD,none,Chuzhou
Bengbu,Anhui,蚌埠,安徽,YRD,added,Bengbu
Huainan,Anhui,淮南,安徽,YRD,added,Huainan
Huaibei,Anhui,淮北,安徽,YRD,added,Huaibei
Fuyang,Anhui,阜阳,安徽,YRD,added,Fuyang
Suzhou,Anhui,宿州,安徽,YRD,added,Suzhou
Lu'an,Anhui,六安,安徽,YRD,added,Lu'an
Bozhou,Anhui,亳州,安徽,YRD,added,Bozhou
Tongling,Anhui,铜陵,安徽,YRD,removed,Tongling
Anqing,Anhui,安庆,安徽,YRD,removed,Anqing
Chizhou,Anhui,池州,安徽,YRD,removed,Chizhou
Xuancheng,Anhui,宣城,安徽,YRD,removed,Xuancheng
Nanjing,Jiangsu,南京,江苏,YRD,none,Nanjing
Suzhou,Jiangsu,苏州,江苏,YRD,none,Suzhou
Nantong,Jiangsu,南通,江苏,YRD,none,Nantong
Yangzhou,Jiangsu,扬州,江苏,YRD,none,Yangzhou
Wuxi,Jiangsu,无锡,江苏,YRD,none,Wuxi
Changzhou,Jiangsu,常州,江苏,YRD,none,Changzhou
Zhenjiang,Jiangsu,镇江,江苏,YRD,none,Zhenjiang
Taizhou,Jiangsu,泰州,江苏,YRD,none,Taizhou
Yancheng,Jiangsu,盐城,江苏,YRD,none,Yancheng
Xuzhou,Jiangsu,徐州,江苏,YRD,added,Xuzhou
Lianyungang,Jiangsu,连云港,江苏,YRD,added,Lianyungang
Huai'an,Jiangsu,淮安,江苏,YRD,added,Huai'an
Suqian,Jiangsu,宿迁,江苏,YRD,added,Suqian
Hangzhou,Zhejiang,杭州,浙江,YRD,none,Hangzhou
Ningbo,Zhejiang,宁波,浙江,YRD,none,Ningbo
Shaoxing,Zhejiang,绍兴,浙江,YRD,none,Shaoxing
Huzhou,Zhejiang,湖州,浙江,YRD,none,Huzhou
Jiaxing,Zhejiang,嘉兴,浙江,YRD,none,Jiaxing
Zhoushan,Zhejiang,舟山,浙江,YRD,none,Zhoushan
Jinhua,Zhejiang,金华,浙江,YRD,removed,Jinhua
Taizhou,Zhejiang,台州,浙江,YRD,removed,Taizhou
