region_name,population_total,population_urban,population_rural
Mainland China,1433802600,937590000,508960000
Guangdong,126570000,94650000,31920000
Shandong,101630000,65590000,36040000
Henan,98720000,56330000,42390000
Jiangsu,85150000,63370000,21780000
Sichuan,83740000,48860000,34880000
Hebei,74200000,45750000,28450000
Hunan,66040000,39830000,26210000
Zhejiang,65770000,48260000,17510000
Anhui,61270000,36860000,24410000
Hubei,58440000,37790000,20650000
Guangxi,50470000,28090000,22380000
Yunnan,46930000,24270000,22660000
Jiangxi,45280000,28110000,17170000
Liaoning,41970000,30640000,11330000
Fujian,41880000,29370000,12510000
Shaanxi,39560000,25320000,14240000
Guizhou,38560000,21140000,17420000
Shanxi,34810000,22260000,12550000
Chongqing,32130000,22800000,9330000
Heilongjiang,30990000,20520000,10470000
Xinjiang,25870000,14980000,10890000
Gansu,24920000,13510000,11410000
Shanghai,24750000,22110000,2640000
Inner Mongolia,24010000,16470000,7540000
Jilin,23480000,14960000,8520000
Beijing,21840000,19130000,2710000
Tianjin,13630000,11600000,2030000
Hainan,10270000,6310000,3960000
Hong Kong,7472600,NA,NA
Ningxia,7280000,4830000,2450000
Qinghai,5950000,3660000,2290000
Tibet,3640000,1360000,2280000
