basis_of_estimate,date,product,product_category,sector,CO2,CO2_3m_mean,CO2_12m_mean,YoY_change_percent_1m,YoY_change_percent_3m_mean,YoY_change_absolute_1m,YoY_change_absolute_3m_mean,include_in_totals,unit
adjusted to NBS H1 numbers,2001-11-30,Natural Gas,Gas,Total,NA,NA,4.028853816491639,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2001-12-31,Natural Gas,Gas,Total,4.510119584800459,4.510119584800459,4.510119584800459,NA,NA,NA,NA,TRUE,MtCO2/month
adjusted to NBS H1 numbers,2002-01-31,Natural Gas,Gas,Total,NA,4.510119584800459,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-02-28,Natural Gas,Gas,Total,NA,4.510119584800459,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-03-31,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-04-30,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-05-31,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-06-30,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-07-31,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-08-31,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-09-30,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-10-31,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-11-30,Natural Gas,Gas,Total,NA,NA,4.510119584800459,NA,NA,NA,NA,NA,MtCO2/month
adjusted to NBS H1 numbers,2002-12-31,Natural Gas,Gas,Total,4.798517315450842,4.798517315450842,4.798517315450842,0.06394458621946764,0.06394458621946764,0.28839773065038266,0.28839773065038266,TRUE,MtCO2/month
adjusted to NBS H1 numbers,2003-01-31,Natural Gas,Gas,Total,NA,4.798517315450842,4.798517315450842,NA,0.06394458621946764,NA,0.28839773065038266,NA,MtCO2/month
adjusted to NBS H1 numbers,2003-02-28,Natural Gas,Gas,Total,NA,4.798517315450842,4.798517315450842,NA,0.06394458621946764,NA,0.28839773065038266,NA,MtCO2/month
adjusted to NBS H1 numbers,2003-03-31,Natural Gas,Gas,Total,NA,NA,4.798517315450842,NA,NA,NA,NA,NA,MtCO2/month
