date,label,broad_label,source,subtype,value,Consumption_predicted_YoY,YoY_change_absolute_1m,YoY_change_percent_1m,Unit,data_source
2016-01-31,Total,Total,Total,NA,4456.398246066902,NA,9.942495735484044,0.002236049630032433,100 million kwh,NA
2016-02-29,Total,Total,Total,NA,4470.061369441096,NA,114.53156611428585,0.026295668101457004,100 million kwh,NA
2016-03-31,Total,Total,Total,NA,4921.51404417658,NA,274.7104005548381,0.05911814262518034,100 million kwh,NA
2016-04-30,Total,Total,Total,NA,4622.596255707763,NA,32.962811986666566,0.007182014073860765,100 million kwh,NA
2016-05-31,Total,Total,Total,NA,4806.844693879805,NA,62.08597352258039,0.013085169801406948,100 million kwh,NA
2016-06-30,Total,Total,Total,NA,5026.400934046096,NA,99.03232150500025,0.02009841952009528,100 million kwh,NA
2016-07-31,Total,Total,Total,NA,5636.874029378999,NA,403.1073732411287,0.07702050926714255,100 million kwh,NA
2016-08-31,Total,Total,Total,NA,5730.9484081894825,NA,434.5764642516124,0.08205172688995543,100 million kwh,NA
2016-09-30,Total,Total,Total,NA,5044.597552726096,NA,334.6510501650009,0.07105198540642244,100 million kwh,NA
2016-10-31,Total,Total,Total,NA,5003.159814081418,NA,371.1453286790302,0.08012611572107131,100 million kwh,NA
2016-11-30,Total,Total,Total,NA,5173.313324421929,NA,358.47430066083325,0.0744519804071897,100 million kwh,NA
2016-12-31,Total,Total,Total,NA,5493.767408902387,NA,433.47503786129164,0.08566205390462622,100 million kwh,NA
2017-01-31,Total,Total,Total,NA,4807.093441091903,NA,350.69519502500043,0.07869476102915951,100 million kwh,NA
2017-02-28,Total,Total,Total,NA,4832.692448208953,NA,362.6310787678567,0.08112440720544245,100 million kwh,NA
2017-03-31,Total,Total,Total,NA,5266.2622800217405,NA,344.7482358451607,0.07004922321680396,100 million kwh,NA
2017-04-30,Total,Total,Total,NA,4920.636156644429,NA,298.0399009366665,0.0644745689326991,100 million kwh,NA
2017-05-31,Total,Total,Total,NA,5086.121100968515,NA,279.2764070887097,0.05809973587128603,100 million kwh,NA
2017-06-30,Total,Total,Total,NA,5304.450734321096,NA,278.04980027500005,0.05531787136032906,100 million kwh,NA
2017-07-31,Total,Total,Total,NA,6169.834912674967,NA,532.9608832959684,0.09454901431506424,100 million kwh,NA
2017-08-31,Total,Total,Total,NA,6073.773156679806,NA,342.82474849032315,0.05981989787247599,100 million kwh,NA
2017-09-30,Total,Total,Total,NA,5377.166116721095,NA,332.56856399499884,0.06592568793030451,100 million kwh,NA
2017-10-31,Total,Total,Total,NA,5226.514515202386,NA,223.35470112096846,0.044642727680282324,100 million kwh,NA
2017-11-30,Total,Total,Total,NA,5469.64263365943,NA,296.32930923750155,0.05728037152488019,100 million kwh,NA
2017-12-31,Total,Total,Total,NA,5919.8972464410945,NA,426.12983753870776,0.07756605000207784,100 million kwh,NA
2018-01-31,Total,Total,Total,NA,5539.259427750773,NA,732.1659866588707,0.15230949754381373,100 million kwh,NA
2018-02-28,Total,Total,Total,NA,5599.475892612524,NA,766.7834444035716,0.1586658891748325,100 million kwh,NA
2018-03-31,Total,Total,Total,NA,5644.771814847547,NA,378.50953482580644,0.07187441769881686,100 million kwh,NA
2018-04-30,Total,Total,Total,NA,5535.096055707762,NA,614.4598990633331,0.12487407715232424,100 million kwh,NA
2018-05-31,Total,Total,Total,NA,5836.330072912064,NA,750.2089719435489,0.14750120122005983,100 million kwh,NA
2018-06-30,Total,Total,Total,NA,5904.960789041096,NA,600.51005472,0.11320871562338253,100 million kwh,NA
2018-07-31,Total,Total,Total,NA,6718.275298718516,NA,548.4403860435486,0.0888906095229327,100 million kwh,NA
2018-08-31,Total,Total,Total,NA,6761.902072912063,NA,688.1289162322573,0.11329512948231657,100 million kwh,NA
2018-09-30,Total,Total,Total,NA,5903.167389041097,NA,526.0012723200016,0.09782128000180657,100 million kwh,NA
2018-10-31,Total,Total,Total,NA,5687.240427750773,NA,460.725912548387,0.08815165655969603,100 million kwh,NA
2018-11-30,Total,Total,Total,NA,5883.377055707762,NA,413.7344220483319,0.07564194770281096,100 million kwh,NA
2018-12-31,Total,Total,Total,NA,6462.238847105613,NA,542.3416006645184,0.0916133470037106,100 million kwh,NA
2019-01-31,Total,Total,Total,NA,5651.947241935484,NA,112.68781418471099,0.020343480144685788,100 million kwh,NA
2019-02-28,Total,Total,Total,NA,5711.629482142857,NA,112.15358953033319,0.020029301256265564,100 million kwh,NA
2019-03-31,Total,Total,Total,NA,5999.194548387097,NA,354.4227335395499,0.06278778756074876,100 million kwh,NA
2019-04-30,Total,Total,Total,NA,5721.5902333333315,NA,186.49417762556914,0.03369303364360898,100 million kwh,NA
2019-05-31,Total,Total,Total,NA,5914.947524524967,NA,78.6174516129031,0.013470357335988892,100 million kwh,NA
2019-06-30,Total,Total,Total,NA,6148.197489041097,NA,243.23670000000038,0.04119192466974875,100 million kwh,NA
2019-07-31,Total,Total,Total,NA,6872.270782589483,NA,153.9954838709673,0.0229218775688369,100 million kwh,NA
2019-08-31,Total,Total,Total,NA,6986.27926646045,NA,224.37719354838737,0.03318255590349861,100 million kwh,NA
2019-09-30,Total,Total,Total,NA,6220.316889041095,NA,317.1494999999986,0.05372531034589478,100 million kwh,NA
2019-10-31,Total,Total,Total,NA,6039.995524524968,NA,352.7550967741945,0.062025704954011385,100 million kwh,NA
2019-11-30,Total,Total,Total,NA,6190.368922374429,NA,306.9918666666663,0.05217953290429311,100 million kwh,NA
2019-12-31,Total,Total,Total,NA,6780.804806451617,NA,318.5659593460041,0.049296531261559196,100 million kwh,NA
2020-01-31,Total,Total,Total,NA,5273.4282741935485,NA,-378.51896774193574,-0.06697142622518781,100 million kwh,NA
2020-02-29,Total,Total,Total,NA,5311.794706896552,NA,-399.83477524630507,-0.07000362619745726,100 million kwh,NA
2020-03-31,Total,Total,Total,NA,5785.135709677419,NA,-214.05883870967773,-0.03568126304009067,100 million kwh,NA
2020-04-30,Total,Total,Total,NA,5835.143633333334,NA,113.55340000000251,0.019846475432381272,100 million kwh,NA
2020-05-31,Total,Total,Total,NA,6166.558741935483,NA,251.61121741051647,0.04253819942903436,100 million kwh,NA
2020-06-30,Total,Total,Total,NA,6510.263900000002,NA,362.0664109589052,0.058889847244541826,100 million kwh,NA
2020-07-31,Total,Total,Total,NA,6996.397096774192,NA,124.12631418470846,0.01806190677165631,100 million kwh,NA
2020-08-31,Total,Total,Total,NA,7467.242258064513,NA,480.96299160406306,0.06884394013750028,100 million kwh,NA
2020-09-30,Total,Total,Total,NA,6540.514799999999,NA,320.1979109589038,0.051476141275539566,100 million kwh,NA
2020-10-31,Total,Total,Total,NA,6382.520193548391,NA,342.5246690234235,0.0567094243087809,100 million kwh,NA
2020-11-30,Total,Total,Total,NA,6683.387400000001,NA,493.0184776255728,0.07964282643052334,100 million kwh,NA
2020-12-31,Total,Total,Total,NA,7450.546806451607,NA,669.7419999999902,0.09877028156934431,100 million kwh,NA
2021-01-31,Total,Total,Total,NA,6445.872330645161,NA,1172.4440564516126,0.22233052115057195,100 million kwh,NA
2021-02-28,Total,Total,Total,NA,6536.366428571428,NA,1224.5717216748753,0.23053822469549812,100 million kwh,NA
2021-03-31,Total,Total,Total,NA,6822.661677419356,NA,1037.5259677419372,0.17934341038989898,100 million kwh,NA
2021-04-30,Total,Total,Total,NA,6486.134900000001,NA,650.9912666666669,0.11156388044124066,100 million kwh,NA
2021-05-31,Total,Total,Total,NA,6794.591870967742,NA,628.0331290322583,0.10184499253389734,100 million kwh,NA
2021-06-30,Total,Total,Total,NA,7128.108699999999,NA,617.8447999999971,0.09490318817951393,100 million kwh,NA
2021-07-31,Total,Total,Total,NA,7843.221612903226,NA,846.8245161290342,0.12103722879301371,100 million kwh,NA
2021-08-31,Total,Total,Total,NA,7599.12929032258,NA,131.88703225806694,0.017662080283471493,100 million kwh,NA
2021-09-30,Total,Total,Total,NA,7017.562999999998,NA,477.04819999999927,0.07293740853548702,100 million kwh,NA
2021-10-31,Total,Total,Total,NA,6601.398870967743,NA,218.87867741935224,0.034293456312226134,100 million kwh,NA
2021-11-30,Total,Total,Total,NA,6820.160299999995,NA,136.77289999999357,0.020464607513249078,100 million kwh,NA
2021-12-31,Total,Total,Total,NA,7438.146580645162,NA,-12.400225806444723,-0.0016643376826660505,100 million kwh,NA
2022-01-31,Total,Total,Total,NA,6743.917838709678,NA,298.045508064517,0.046238195976600505,100 million kwh,NA
2022-02-28,Total,Total,Total,NA,6838.430785714286,NA,302.06435714285817,0.04621288608032903,100 million kwh,NA
2022-03-31,Total,Total,Total,NA,7031.2052258064505,NA,208.54354838709423,0.030566303628582592,100 million kwh,NA
2022-04-30,Total,Total,Total,NA,6445.712200000001,NA,-40.42270000000008,-0.006232170718496799,100 million kwh,NA
2022-05-31,Total,Total,Total,NA,6705.337451612903,NA,-89.25441935483832,-0.013136097215229237,100 million kwh,NA
2022-06-30,Total,Total,Total,NA,7411.185099999998,NA,283.076399999999,0.03971269405585787,100 million kwh,NA
2022-07-31,Total,Total,Total,NA,8344.725677419357,NA,501.5040645161316,0.06394108049823366,100 million kwh,NA
2022-08-31,Total,Total,Total,NA,8504.363870967738,NA,905.2345806451576,0.11912346086780823,100 million kwh,NA
2022-09-30,Total,Total,Total,NA,7142.374000000002,NA,124.81100000000333,0.017785518989997362,100 million kwh,NA
2022-10-31,Total,Total,Total,NA,6911.845322580647,NA,310.44645161290373,0.04702737369472021,100 million kwh,NA
2022-11-30,Total,Total,Total,NA,6918.8112,NA,98.6509000000051,0.014464601367214946,100 million kwh,NA
2022-12-31,Total,Total,Total,NA,7759.335709677422,NA,321.1891290322592,0.043181339000232466,100 million kwh,NA
2023-01-31,Total,Total,Total,NA,6964.877709677419,NA,220.95987096774115,0.03276431834614657,100 million kwh,NA
2023-02-28,Total,Total,Total,NA,7095.674035714286,NA,257.24325000000044,0.03761729233808886,100 million kwh,NA
2023-03-31,Total,Total,Total,NA,7505.239161290321,NA,474.03393548387066,0.06741858902710396,100 million kwh,NA
2023-04-30,Total,Total,Total,NA,6981.167600000001,NA,535.4553999999998,0.08307156500099389,100 million kwh,NA
2023-05-31,Total,Total,Total,NA,7245.587741935483,NA,540.2502903225795,0.08057018669397875,100 million kwh,NA
2023-06-30,Total,Total,Total,NA,7789.646700000002,NA,378.4616000000042,0.0510662727881408,100 million kwh,NA
2023-07-31,Total,Total,Total,NA,8870.03896774193,NA,525.3132903225724,0.06295153497304984,100 million kwh,NA
2023-08-31,Total,Total,Total,NA,8857.499970967747,NA,353.1361000000088,0.04152410519563343,100 million kwh,NA
2023-09-30,Total,Total,Total,NA,7830.611599999998,NA,688.2375999999967,0.09635978177563875,100 million kwh,NA
2023-10-31,Total,Total,Total,NA,7384.993032258062,NA,473.14770967741515,0.06845461488145088,100 million kwh,NA
2023-11-30,Total,Total,Total,NA,7722.495500000002,NA,803.6843000000017,0.11615930493955395,100 million kwh,NA
2023-12-31,Total,Total,Total,NA,8531.66016451613,NA,772.3244548387083,0.0995348678979655,100 million kwh,NA
2024-01-31,Total,Total,Total,NA,7757.038379032258,NA,792.1606693548383,0.11373647928579755,100 million kwh,NA
2024-02-29,Total,Total,Total,NA,7873.150293103447,NA,777.4762573891612,0.10957045849005054,100 million kwh,NA
2024-03-31,Total,Total,Total,NA,7980.780032258064,NA,475.5408709677431,0.06336118819776382,100 million kwh,NA
2024-04-30,Total,Total,Total,NA,7310.479700000002,NA,329.312100000001,0.04717149320408831,100 million kwh,NA
2024-05-31,Total,Total,Total,NA,7832.3001290322545,NA,586.7123870967716,0.08097512693153108,100 million kwh,NA
2024-06-30,Total,Total,Total,NA,8217.656800000002,NA,428.0101000000004,0.054946022134739536,100 million kwh,NA
2024-07-31,Total,Total,Total,NA,9355.608870967742,NA,485.5699032258126,0.05474270237049761,100 million kwh,NA
2024-08-31,Total,Total,Total,NA,9605.807903225801,NA,748.3079322580543,0.08448297315391318,100 million kwh,NA
2024-09-30,Total,Total,Total,NA,8694.076096327179,NA,863.4644963271803,0.1102678233111678,100 million kwh,NA
2016-01-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109589,NA,0,0,100 million kwh,CREA
2016-01-31,Wind,Solar & wind,Wind,NA,165.44165702580645,NA,20.072495735483898,0.13807946305335217,100 million kwh,CREA
2016-01-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,644.5,NA,79.23000000000002,0.14016310789534203,100 million kwh,CREA
2016-01-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,142.45,NA,18.139999999999986,0.14592550880862354,100 million kwh,CREA
2016-01-31,Thermal,NA,Thermal,NA,3392.75,NA,-637.75,-0.158230988711078,100 million kwh,CREA
2016-02-29,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109589,NA,0,0,100 million kwh,CREA
2016-02-29,Wind,Solar & wind,Wind,NA,179.10478039999998,NA,13.921566114285696,0.08427954483441535,100 million kwh,CREA
2016-02-29,Hydro,"Hydro, nuclear & biomass",Hydro,NA,644.5,NA,172.74,0.3661607597083263,100 million kwh,CREA
2016-02-29,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,142.45,NA,35.370000000000005,0.33031378408666434,100 million kwh,CREA
2016-02-29,Thermal,NA,Thermal,NA,3392.75,NA,478.46000000000004,0.16417720954331938,100 million kwh,CREA
2016-03-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109589,NA,0,0,100 million kwh,CREA
2016-03-31,Wind,Solar & wind,Wind,NA,204.93205513548386,NA,21.60500055483871,0.11784949365089337,100 million kwh,CREA
2016-03-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,743.7146,NA,65.74459999999999,0.0969727274068175,100 million kwh,CREA
2016-03-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,185.6608,NA,64.26079999999996,0.5293311367380555,100 million kwh,CREA
2016-03-31,Thermal,NA,Thermal,NA,3707.4055000000008,NA,183.19550000000072,0.051982004477599375,100 million kwh,CREA
2016-04-30,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109591,NA,0,0,100 million kwh,CREA
2016-04-30,Wind,Solar & wind,Wind,NA,237.4650666666667,NA,33.948211986666735,0.16680786483284282,100 million kwh,CREA
2016-04-30,Hydro,"Hydro, nuclear & biomass",Hydro,NA,783.2854,NA,84.28539999999998,0.12057997138769672,100 million kwh,CREA
2016-04-30,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,150.03920000000005,NA,25.72920000000005,0.2069761081168051,100 million kwh,CREA
2016-04-30,Thermal,NA,Thermal,NA,3279.0944999999992,NA,-170.90550000000076,-0.04953782608695678,100 million kwh,CREA
2016-05-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109589,NA,0,0,100 million kwh,CREA
2016-05-31,Wind,Solar & wind,Wind,NA,257.7381048387097,NA,61.38597352258057,0.3126320713257167,100 million kwh,CREA
2016-05-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,927,NA,159,0.20703125,100 million kwh,CREA
2016-05-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,164.39999999999998,NA,27.600000000000023,0.20175438596491246,100 million kwh,CREA
2016-05-31,Thermal,NA,Thermal,NA,3350,NA,-124,-0.03569372481289579,100 million kwh,CREA
2016-06-30,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109591,NA,0,0,100 million kwh,CREA
2016-06-30,Wind,Solar & wind,Wind,NA,170.99434500500004,NA,7.632321505000078,0.04672029240014952,100 million kwh,CREA
2016-06-30,Hydro,"Hydro, nuclear & biomass",Hydro,NA,1068,NA,16,0.015209125475285079,100 million kwh,CREA
2016-06-30,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,179.5,NA,21.299999999999955,0.13463969658659902,100 million kwh,CREA
2016-06-30,Thermal,NA,Thermal,NA,3457,NA,-29,-0.00831899024670113,100 million kwh,CREA
2016-07-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109589,NA,0,0,100 million kwh,CREA
2016-07-31,Wind,Solar & wind,Wind,NA,164.66744033790317,NA,48.00737324112909,0.41151504911535053,100 million kwh,CREA
2016-07-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,1238,NA,124,0.11131059245960495,100 million kwh,CREA
2016-07-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,198.0999999999999,NA,36.19999999999993,0.22359481161210581,100 million kwh,CREA
2016-07-31,Thermal,NA,Thermal,NA,3908,NA,232,0.06311207834602839,100 million kwh,CREA
2016-08-31,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109589,NA,0,0,100 million kwh,CREA
2016-08-31,Wind,Solar & wind,Wind,NA,145.04181914838708,NA,31.976464251612697,0.282813990906466,100 million kwh,CREA
2016-08-31,Hydro,"Hydro, nuclear & biomass",Hydro,NA,1108,NA,60,0.057251908396946494,100 million kwh,CREA
2016-08-31,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,201.60000000000014,NA,33.00000000000023,0.19572953736654952,100 million kwh,CREA
2016-08-31,Thermal,NA,Thermal,NA,4152,NA,370,0.09783183500793236,100 million kwh,CREA
2016-09-30,Biomass,"Hydro, nuclear & biomass",Thermal,Biomass,126.50658904109591,NA,0,0,100 million kwh,CREA
2016-09-30,Wind,Solar & wind,Wind,NA,152.9909636849999,NA,19.151050165000157,0.14308922997128515,100 million kwh,CREA
2016-09-30,Hydro,"Hydro, nuclear & biomass",Hydro,NA,951,NA,-125,-0.11617100371747213,100 million kwh,CREA
2016-09-30,Nuclear,"Hydro, nuclear & biomass",Nuclear,NA,180,NA,21,0.13207547169811318,100 million kwh,CREA
